case_id,prior_case_id,query_slice,question,relevant_publication_ids,relevant_pages,relevance_grade,reviewed_by,decision_basis,notes
gq-025,SR010,concept,젊은 세대의 군 기피 현상 해결 방안은?,pub:kida:e76f9384a52ef3808c8bd69909e01a52,7,3,Daehyun Yoo,"batch:strong-proposal(cov=0.38,top1)","매핑: 2024_권현진_군간부획득영향요인과정책효과에대한인식 | 미확정 후보 페이지: 5,10"
gq-027,SR012,concept,국방 소프트웨어 획득 제도의 문제점과 개선 방향은?,pub:kida:bc3a9c9a14c66016c41eb20e670ccd8a,3,3,Daehyun Yoo,"batch:strong-proposal(cov=0.36,top1)","매핑: 2023_남기헌_국방소프트웨어획득제도정비방안 | 미확정 후보 페이지: 5,6"
gq-030,SR015,concept,국방 과학기술의 민간 이전은 어떻게 이루어지는가?,pub:kida:c3041ffbe334de2bf5d03a6db540e820,73,3,Daehyun Yoo,"batch:strong-proposal(cov=0.45,top1)","매핑: 2023_양영철_국방과학기술소유권의민간이전방안검토 | 미확정 후보 페이지: 18,46"
gq-039,MH009,multi_hop,중대재해처벌법이 군에 미치는 영향과 군의 특수성을 고려한 적용 방안은?,pub:kida:10152162705b8b446f4c6f7d6a7b8360,3,3,Daehyun Yoo,"batch:strong-proposal(cov=0.40,top1)","매핑: 2024_김미희_중대재해처벌법과군특수성 | 미확정 후보 페이지: 7,8"
gq-087,KW042,exact_term,국군사이버사령부의 임무는?,pub:kida:cb834625898e6eafe83599beaaee859c,11,3,Daehyun Yoo,"batch:strong-proposal(cov=0.50,top1)","매핑: 2024_김성태_국방사이버전문인력의전문성판단개선방안 | 미확정 후보 페이지: 8,2"
gq-091,KW046,exact_term,ATACMS(육군전술미사일)의 사거리와 용도는?,pub:kida:d97f67aac09c745bce808e48ca694533,83,3,Daehyun Yoo,"batch:strong-proposal(cov=0.62,top1)","매핑: 2023_김기원_신영역작전수행개념과연계한한반도미사일전략발전방향연구 | 질문에 답이 괄호로 노출된 정의형. 검색 과제로는 유효하나 난이도가 낮음 | 미확정 후보 페이지: 86,26"
gq-097,SR017,concept,디지털 네이티브 세대의 군 적응을 위한 방안은?,pub:kida:04c54f24414c6959db7cf2cb298b5849,90,3,Daehyun Yoo,"batch:strong-proposal(cov=0.42,top1)","매핑: 2023_독고순_한국의사회문화적이슈가군에미친영향 | 미확정 후보 페이지: 93,86"
gq-144,MH029,multi_hop,AI 기반 북한 군사정세 분석과 기존 정보분석 방법의 상호보완 방안은?,pub:kida:0f8510f865a0e83e2a77167d0e94b546,11,3,Daehyun Yoo,"batch:strong-proposal(cov=0.42,top1)","매핑: 2023_이중구_인공지능기반북한군사정세분석시범연구 | 다중 문서 근거 필요 | 미확정 후보 페이지: 43,78"
gq-163,MH048,multi_hop,국방정책 AI 개념설계 연구 결과를 실제 정책 의사결정에 적용하는 방안은?,pub:kida:65126140b8accf27c4602672371a65e3,4,3,Daehyun Yoo,"batch:strong-proposal(cov=0.36,top1)","매핑: 2023_심승배_국방정책AI개념설계연구 | 다중 문서 근거 필요 | 미확정 후보 페이지: 5,3"
gq-164,MH049,multi_hop,신영역 작전 수행 개념 발전과 한반도 미사일 전략의 연계 방향은?,pub:kida:d97f67aac09c745bce808e48ca694533,15,3,Daehyun Yoo,"batch:strong-proposal(cov=0.40,top1)","매핑: 2023_김기원_신영역작전수행개념과연계한한반도미사일전략발전방향연구 | 다중 문서 근거 필요 | 미확정 후보 페이지: 130,140"
