risk_rank,case_id,prior_case_id,query_slice,question,expected_evidence,relevant_publication_ids,answer_grounding,review_flags,near_duplicate_of,question_verdict,revised_question,reviewed_by,notes
11,gq-142,MH027,multi_hop,중국 군사개혁의 교훈과 한국 국방개혁에 대한 시사점을 도출하시오.,"합동성 강화, 전구 중심 체제, 첨단화 우선, 민군융합 정책 참고",pub:kida:3545eae573db173bfe188b69d8365208,0.00,low_grounding;templated,,,,,매핑: 2019_이창형_군사개혁후의중국인민해방군연구 | 다중 문서 근거 필요
12,gq-145,MH030,multi_hop,미래 국방환경에서 군무원의 역할 재정립과 민간 전문가 활용 확대 방안을 종합하시오.,"기술 전문 직위 확대, 민간 경력자 특별 채용, 직렬 다양화, 군무원-민간 협업 모델",pub:kida:3c7e92c303d23f16c088198563bf3951,0.00,low_grounding;templated,,,,,매핑: 2023_오혜_미래국방환경에부합한군무원의역할활용분야정립 | 다중 문서 근거 필요
13,gq-150,MH035,multi_hop,우주전력 운용 개념과 지상-해상-공중 전력의 통합작전 방안을 제시하시오.,"위성 기반 ISR 지원, 통신 중계, GPS 항법, 우주 상황인식 공유, 합동표적처리 체계",,,templated;unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
14,gq-155,MH040,multi_hop,국방기획지침(DPG) 개선과 중장기 군사력 건설 계획 연계 방안을 제시하시오.,"위협 평가-자원 배분-전력 건설 연계, 유연성 확보, 불확실성 대비, 다자원 우선순위",,,templated;unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
15,gq-156,MH041,multi_hop,해양 무인체계 발전과 미래 해군 작전 개념의 변화를 연계 분석하시오.,"무인수상정, 무인잠수정 도입, 분산작전 개념, 유무인 복합 함대, 원격 운용 체계",,,templated;unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
16,gq-157,MH042,multi_hop,함정 정비 외주화 전략과 해군력 유지의 균형점을 분석하시오.,"비용 절감 vs 전시 지속지원성, 핵심 정비 자체 역량 유지, 민간 조선소 협력",pub:kida:262ac13c060c99da338a0c17d7f9fed1,0.00,low_grounding;templated,,,,,매핑: 2019_이성윤_효율적인함정외주정비추진방안 | 다중 문서 근거 필요
17,gq-158,MH043,multi_hop,2023-2027 북한 전략동향 평가와 한국의 대비 전략을 종합하시오.,"핵미사일 고도화 지속, 전술핵 운용 능력 확보. 대응: 다층 방어체계, 억제력 강화, 정보력 확충",pub:kida:9b7174c6b46b22d0f39893e6616742fd,0.36,low_grounding;templated,,,,,매핑: 2023_손효종_2023~2027북한전략동향및위협 평가(I) | 다중 문서 근거 필요
18,gq-160,MH045,multi_hop,기계학습 기반 군사 분석과 전통적 정보분석의 융합 방안을 제시하시오.,"ML 패턴 인식 + 인간 맥락 판단, 하이브리드 분석 체계, 신뢰도 평가 기준",pub:kida:9d0de61457f6d51dc6ab6e2c49390c3c,0.17,low_grounding;templated,,,,,매핑: 2023_김종회_기계학습기반신속통합분석연구 | 다중 문서 근거 필요
19,gq-165,MH050,multi_hop,국방 연구개발 역량 강화를 위한 정책/제도/인력/예산 통합 개선 방안을 제시하시오.,"R&D 예산 확대, 전문인력 양성, 제도 유연화, 민군협력 강화, 성과 평가 체계 개선",pub:kida:3025dddc8f7fedde49e600d07034cce9,0.00,low_grounding;templated,,,,,매핑: 2019_이상경_한국의국방연구개발역량강화방안정책·제도인력조직예산부문ᄌ | 다중 문서 근거 필요
20,gq-001,KW001,exact_term,킬체인(Kill Chain)의 구성요소는 무엇인가?,킬체인은 탐지-식별-결심-타격의 4단계로 구성된다,,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
21,gq-002,KW002,exact_term,KAMD(한국형 미사일 방어체계)의 역할은?,KAMD는 북한 탄도미사일을 탐지하고 요격하는 다층방어체계,,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
22,gq-004,KW004,exact_term,KMPR(대량응징보복)의 개념은?,KMPR은 북한 핵공격 시 지도부를 포함한 대량응징보복 개념,,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
23,gq-005,KW005,exact_term,NATO 조달체계의 특징은 무엇인가?,NATO 조달체계는 동맹국 간 무기체계 상호운용성 확보를 위한 표준화된 조달 프로세스,pub:kida:4af0cacdfad4e0d5f9b7a55ec854c803,0.33,low_grounding,,,,,매핑: 2024_김지수_NATO조달체계란무엇이고어떻게접근할것인가
24,gq-009,KW009,exact_term,CNI(재래식 핵 통합)의 개념은?,CNI는 재래식 전력과 핵전력을 통합 운용하는 한미 연합전략 개념,,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
25,gq-013,KW013,exact_term,DPG(국방기획지침)의 역할과 발전방향은?,DPG는 국방정책 수립의 기본지침으로 군사력 건설 방향 제시,pub:kida:7780cc97fea95969492632b10b581ca6,0.00,low_grounding,,,,,매핑: 2019_최수동_국방정책에부합한군사력건설을위한한국의국방기획지침(DPG)발저
26,gq-015,KW015,exact_term,군사개혁 후 중국 인민해방군의 변화는?,"중국군 군사개혁으로 합동작전체계 강화, 전구사령부 체제 개편",pub:kida:3545eae573db173bfe188b69d8365208,0.00,low_grounding,,,,,매핑: 2019_이창형_군사개혁후의중국인민해방군연구
27,gq-024,SR009,concept,동맹국과의 군사 협력에서 표준화가 중요한 이유는?,"상호운용성 확보, 연합작전 효율성 향상, 군수지원 간소화를 위해 표준화 필수",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
28,gq-026,SR011,concept,AI와 기계학습이 군사 분석에 어떻게 활용될 수 있는가?,"AI/ML 기반 신속 통합 분석으로 정보 융합, 위협 예측, 의사결정 지원 가능",pub:kida:9d0de61457f6d51dc6ab6e2c49390c3c,0.31,low_grounding,,,,,매핑: 2023_김종회_기계학습기반신속통합분석연구
29,gq-029,SR014,concept,효율적인 함정 정비를 위한 외주 활용 방안은?,"함정 정비 외주화로 비용 절감, 전문성 확보. 계약 관리, 품질 보증 체계 필요",pub:kida:262ac13c060c99da338a0c17d7f9fed1,0.00,low_grounding,,,,,매핑: 2019_이성윤_효율적인함정외주정비추진방안
30,gq-032,MH002,multi_hop,MUM-T 발전을 위해 필요한 기술적 요소와 제도적 요소를 각각 설명하시오.,"기술적: 통신/데이터링크, AI/자율화 기술. 제도적: DIU 같은 민군 혁신생태계, 스타트업 참여 유도, 표준화된 플랫폼 구축",pub:kida:780ab1feb626e0554a8e217b5547378f,0.88,templated,,,,,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고 | 다중 문서 근거 필요
31,gq-035,MH005,multi_hop,방산수출 성과와 국내 조달제도 개선 방향을 연계하여 정책 제언을 하시오.,"방산수출 성과를 바탕으로 국내 조달의 글로벌 표준화, NATO 조달체계 참고, 민간 혁신기술 도입 절차 간소화 필요",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
32,gq-040,MH010,multi_hop,저위력 핵전력의 억제 논리와 한반도에서의 전략적 함의는?,"저위력 핵은 제한적 핵사용 옵션 제공으로 억제 신뢰성 강화. 한반도: 북핵 대응 시 확장억제 실효성, 한미 핵공유 논의와 연계",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
33,gq-041,MH011,multi_hop,러시아-우크라이나 전쟁의 종전 구상과 전쟁 향방을 분석하고 한반도에 대한 시사점을 도출하시오.,"전쟁 장기화 전망, 협상과 전투 병행. 한반도: 전쟁 억제 중요성, 군사적 대비 태세 유지, 외교적 해결 노력 병행",pub:kida:a5c30566817e1c06d73ca05520f8e69c,0.88,templated,,,,,매핑: 2023_노인규_러시아-우크라이나전쟁종전구상논의와전쟁의향방 | 다중 문서 근거 필요
34,gq-042,MH012,multi_hop,핵보유국들의 핵정책을 비교하고 한국의 대북 핵전략에 대한 함의를 도출하시오.,"미, 러, 중 등 핵정책 비교. 선제사용/비선제사용, 억제전략 차이. 한국: 확장억제 강화, 한미 협력, 핵공유 검토",pub:kida:43cc77568f5dcc77ad2de626602c50f2,0.85,templated,,,,,매핑: 2023_박상현_핵보유국의핵정책비교연구 | 다중 문서 근거 필요
35,gq-043,MH013,multi_hop,AI 기반 북한 군사정세 분석과 전통적 분석의 장단점을 비교하고 통합 활용 방안을 제시하시오.,"AI 분석: 대량 데이터 처리, 패턴 인식. 전통 분석: 맥락 이해, 전문가 판단. 통합: 상호보완적 활용, 검증 체계 구축",pub:kida:0f8510f865a0e83e2a77167d0e94b546,0.94,templated,,,,,매핑: 2023_이중구_인공지능기반북한군사정세분석시범연구 | 다중 문서 근거 필요
36,gq-046,TR001,abstention,2025년 국방예산 총액은 얼마인가?,해당 정보가 제공된 문서에 없습니다,,,trap_topic_present,,,,,문서에 없는 미래 정보를 묻는 함정 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
37,gq-048,TR003,abstention,북한이 2024년에 발사한 미사일의 총 횟수는?,해당 정보가 제공된 문서에 없습니다,,,trap_topic_present,,,,,최신 통계를 묻는 함정 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
38,gq-049,TR004,abstention,AI가 완전히 자율적으로 공격 결정을 내리는 무기체계의 사례는?,완전 자율 공격 무기에 대한 구체적 사례는 문서에 없습니다. 문서에서는 유무인복합체계(MUM-T)의 인간-기계 협력을 다루고 있습니다.,pub:kida:780ab1feb626e0554a8e217b5547378f,,trap_topic_present,,,,,과장된 전제의 함정 | 매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고
39,gq-050,TR005,abstention,한국이 핵무기를 보유하게 된 경위는?,한국은 핵무기를 보유하고 있지 않습니다. 문서에서는 북한 핵위협 대응과 한미 확장억제를 다루고 있습니다.,,,trap_topic_present,,,,,잘못된 전제의 함정 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
40,gq-051,TR006,abstention,국방부 장관의 이름은?,해당 정보가 제공된 문서에 없습니다,,,trap_topic_present,,,,,정책 문서와 무관한 인물 정보 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
41,gq-052,TR007,abstention,우크라이나 전쟁에서 러시아가 승리한 이유는?,전쟁이 아직 진행 중이며 러시아의 승리를 다룬 내용은 문서에 없습니다. 문서에서는 2개 전쟁의 교훈과 시사점을 분석하고 있습니다.,pub:kida:035182e3c76ed3b460b222be0dcc2673,,trap_topic_present,,,,,확정되지 않은 결과를 전제한 함정 | 매핑: 2024_유기현_2개의전쟁무엇을배울것인가
42,gq-053,TR008,abstention,모든 군 장병에게 AI 면접이 의무적으로 적용되는 시기는?,AI 면접의 의무 적용 시기에 대한 정보는 문서에 없습니다. 문서에서는 AI 면접의 발전 방향과 장단점을 논의하고 있습니다.,pub:kida:141e602a103e76d68efee4780087cc13,,trap_topic_present,,,,,확정되지 않은 정책을 전제한 함정 | 매핑: 2024_곽지희_초급간부선발시AI면접의발전방향
43,gq-054,TR009,abstention,글로벌 사우스 국가 중 한국과 방산 협력 계약을 체결한 국가를 모두 나열하시오.,구체적인 방산 협력 계약 국가 목록은 문서에 없습니다. 문서에서는 글로벌 사우스의 부상과 한국의 정책적 과제를 다루고 있습니다.,pub:kida:46286be240f4e70646737f212f0a2fa1,,trap_topic_present,,,,,구체적 목록을 요구하는 함정 | 매핑: 2024_노인규_글로벌사우스의부상과한국의대외정책적과제
44,gq-055,TR010,abstention,중대재해처벌법 위반으로 처벌받은 군 지휘관의 사례는?,구체적인 처벌 사례는 문서에 없습니다. 문서에서는 중대재해처벌법과 군 특수성의 법적 쟁점을 다루고 있습니다.,pub:kida:10152162705b8b446f4c6f7d6a7b8360,,trap_topic_present,,,,,구체적 사례를 요구하는 함정 | 매핑: 2024_김미희_중대재해처벌법과군특수성
45,gq-057,TR012,abstention,한국군이 구매한 신영역 작전 장비의 총 비용은?,해당 정보가 제공된 문서에 없습니다. 문서에서는 신영역 작전 수행 개념과 미사일 전략 방향을 다루고 있습니다.,pub:kida:d97f67aac09c745bce808e48ca694533,,trap_topic_present,,,,,문서에 없는 구체적 비용 정보 | 매핑: 2023_김기원_신영역작전수행개념과연계한한반도미사일전략발전방향연구
46,gq-058,TR013,abstention,AI 전쟁 패러다임 변화로 인해 폐지된 군 부대 목록은?,구체적인 부대 폐지 목록은 문서에 없습니다. 문서에서는 AI가 전쟁 패러다임에 미치는 영향을 다루고 있습니다.,pub:kida:d7a2af473c4d3d519c12d7be47cec10b,,trap_topic_present,,,,,확정되지 않은 조직 변화를 전제한 함정 | 매핑: 2023_유기현_인공지능(AI)과전쟁패러다임변화연구
47,gq-059,TR014,abstention,국방 연구개발 예산 중 민간 이전 비율의 연도별 추이는?,구체적인 연도별 추이 데이터는 문서에 없습니다. 문서에서는 국방 연구개발 역량 강화 방안을 다루고 있습니다.,pub:kida:3025dddc8f7fedde49e600d07034cce9,,trap_topic_present,,,,,구체적 통계 데이터를 요구하는 함정 | 매핑: 2019_이상경_한국의국방연구개발역량강화방안정책·제도인력조직예산부문ᄌ
48,gq-061,KW016,exact_term,SLBM(잠수함발사탄도미사일)의 전략적 가치는?,SLBM은 은밀성 기반 2차 타격 능력 보장으로 핵억제력 강화에 기여,,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
49,gq-062,KW017,exact_term,C4ISR 체계의 구성요소는?,"C4ISR은 지휘(Command), 통제(Control), 통신(Communication), 컴퓨터(Computer), 정보(Intelligence), 감시(Surveillance), 정찰(Reconnaissance)로 구성",pub:kida:035182e3c76ed3b460b222be0dcc2673,0.19,low_grounding,,,,,매핑: 2024_유기현_2개의전쟁무엇을배울것인가
50,gq-064,KW019,exact_term,THAAD 배치 논란의 핵심 쟁점은?,"THAAD는 레이더 탐지 범위, 중국 견제 논란, 3불 정책 등이 쟁점",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
51,gq-065,KW020,exact_term,OPCON(전시작전통제권) 전환의 조건은?,"OPCON 전환은 한국군 핵심 능력 확보, 북핵 대응 능력, 한반도 안보환경 등 3대 조건 충족 필요",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
52,gq-066,KW021,exact_term,FCG(미래연합군사령부)의 역할은?,FCG는 전작권 전환 후 한미연합사를 대체할 연합군 지휘구조,,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
53,gq-067,KW022,exact_term,EMP(전자기펄스) 무기의 위협은?,"EMP는 강력한 전자기파로 전자장비 무력화, 사회 인프라 마비 가능한 비물리적 공격 수단",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
54,gq-068,KW023,exact_term,ADD(국방과학연구소)의 주요 연구 분야는?,"ADD는 미사일, 레이더, 함정, 항공 등 핵심 무기체계 연구개발 수행",pub:kida:3025dddc8f7fedde49e600d07034cce9,0.00,low_grounding,,,,,매핑: 2019_이상경_한국의국방연구개발역량강화방안정책·제도인력조직예산부문ᄌ
55,gq-069,KW024,exact_term,DAPA(방위사업청)의 조달 절차는?,"DAPA는 소요결정, 예산편성, 계약, 시험평가, 전력화의 무기체계 획득 절차 수행",pub:kida:bc3a9c9a14c66016c41eb20e670ccd8a,0.44,low_grounding,,,,,매핑: 2023_남기헌_국방소프트웨어획득제도정비방안
56,gq-070,KW025,exact_term,K2 전차의 주요 성능은?,"K2 흑표는 120mm 활강포, 복합장갑, 능동방어체계 등을 갖춘 3.5세대 주력전차",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
57,gq-071,KW026,exact_term,KF-21 보라매의 개발 현황은?,"KF-21은 한국형 4.5세대 전투기로 AESA 레이더, 스텔스 설계 적용",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
58,gq-072,KW027,exact_term,정훈(정훈무관)의 역할 변화는?,"정훈은 심리전에서 정보작전, 여론전, 사이버심리전으로 역할 확대",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
59,gq-073,KW028,exact_term,GOP(일반전초) 근무의 특수성은?,"GOP는 최전방 경계 근무로 북한 직접 대치, 높은 긴장도, 특수 수당 지급",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
60,gq-074,KW029,exact_term,UDT/SEAL의 임무는?,"UDT/SEAL은 특수전 부대로 해상침투, 수중폭파, 대테러작전 수행",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
61,gq-075,KW030,exact_term,NCW(네트워크중심전)의 개념은?,NCW는 센서-결심자-타격체계를 네트워크로 연결하여 전투력 시너지 창출,,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
62,gq-076,KW031,exact_term,JDAM(합동직격탄)의 특성은?,JDAM은 GPS 유도 키트를 장착한 정밀유도폭탄으로 전천후 정밀타격 가능,pub:kida:13355fff22fba242157600fc3c169540,0.44,low_grounding,,,,,매핑: 2024_김종국_정밀유도포탄의세계적현황및적정소요량설정방향
63,gq-077,KW032,exact_term,TOD(열상관측장비)의 활용은?,TOD는 적외선 열영상으로 야간/악천후 시 표적 탐지 및 감시,,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
64,gq-078,KW033,exact_term,MLRS(다연장로켓)의 화력 지원 능력은?,MLRS는 동시 다수 로켓 발사로 광범위 지역 제압 가능한 화력 체계,,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
65,gq-079,KW034,exact_term,KCTC(육군과학화전투훈련단)의 역할은?,"KCTC는 MILES 장비 활용 실전적 전투훈련 제공, 전투력 검증",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
66,gq-080,KW035,exact_term,전술데이터링크(TADIL)의 기능은?,TADIL은 실시간 전술정보 교환으로 공동작전 효율성 향상,,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
67,gq-081,KW036,exact_term,국방개혁 2.0의 주요 내용은?,"국방개혁 2.0은 군 상부지휘구조 개편, 병력 감축, 첨단전력 확충 포함",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
68,gq-082,KW037,exact_term,SOFA(주한미군지위협정)의 핵심 조항은?,"SOFA는 미군 법적 지위, 재판권, 시설 사용, 비용 분담 등 규정",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
69,gq-083,KW038,exact_term,SMA(방위비분담협정)의 협상 쟁점은?,"SMA는 주한미군 주둔 비용 한국 분담 비율, 산정 방식, 협정 기간 등이 쟁점",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
70,gq-084,KW039,exact_term,KFOR(코소보평화유지군) 파병 경험은?,"KFOR 파병으로 한국군 PKO 경험 축적, 국제사회 기여도 제고",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
71,gq-085,KW040,exact_term,합참의장의 권한과 역할은?,"합참의장은 군령권 행사, 작전 지휘, 합동참모 통할, 대통령 군사자문",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
72,gq-086,KW041,exact_term,워게임(전쟁시뮬레이션)의 활용 분야는?,"워게임은 작전계획 검증, 전술 개발, 교육훈련, 무기체계 평가에 활용",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
73,gq-088,KW043,exact_term,한미연합훈련(UFG/ULCHI)의 목적은?,"한미연합훈련은 연합 방위태세 점검, 위기관리 능력 향상, 전시작전 숙달",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
74,gq-089,KW044,exact_term,MCRC(항공통제단)의 기능은?,"MCRC는 방공작전 통제, 항공기 관제, 조기경보 임무 수행",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
75,gq-090,KW045,exact_term,GSOMIA(군사정보보호협정)의 의의는?,GSOMIA는 한일 간 군사비밀정보 직접 교류 가능케 한 양자협정,,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
76,gq-092,KW047,exact_term,천무 다연장로켓의 성능은?,"천무는 사거리 80-290km로 MLRS 대체, 정밀유도탄 운용 가능",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
77,gq-093,KW048,exact_term,장보고-III 잠수함의 특징은?,"장보고-III는 3,000톤급 디젤-리튬 추진, SLBM 탑재 가능한 대형 잠수함",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
78,gq-094,KW049,exact_term,OODA 루프(순환)의 개념은?,OODA는 관찰(Observe)-판단(Orient)-결심(Decide)-행동(Act)의 의사결정 주기,,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
79,gq-095,KW050,exact_term,예비전력 동원 체계의 구조는?,"예비전력은 동원예비군, 향토예비군으로 구분, 전시 동원령에 따라 소집",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
80,gq-096,SR016,concept,전장에서 자율무기체계 도입의 윤리적 쟁점은?,"살상 결정의 인간 통제, 책임 소재, 국제인도법 준수, 무차별 공격 우려 등",pub:kida:780ab1feb626e0554a8e217b5547378f,0.27,low_grounding,,,,,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고
81,gq-099,SR019,concept,여군 비율 확대의 기대 효과와 과제는?,"인력난 해소, 다양성 강화 기대. 육아지원, 시설 개선, 승진 형평성 과제",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
82,gq-100,SR020,concept,저출산이 국방력에 미치는 장기 영향은?,"병역자원 감소로 병력 충원 어려움, 첨단화/무인화 가속, 모병제 전환 논의",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
83,gq-101,SR021,concept,군사 분야에서 양자컴퓨팅의 잠재적 활용은?,"암호 해독/보안 강화, 최적화 문제 해결, 시뮬레이션 정밀도 향상",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
84,gq-102,SR022,concept,미래 전장에서 우주 영역의 중요성은?,"위성 통신/정찰 의존 증대, 우주자산 보호, 위성공격 대응 필수",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
85,gq-104,SR024,concept,방위산업 기술 보호의 중요성은?,"핵심 기술 유출 방지, 무기체계 경쟁력 유지, 동맹 신뢰도 확보",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
86,gq-105,SR025,concept,군 의료 체계의 민간 협력 필요성은?,"전문 의료인력 부족, 첨단 의료장비 공동 활용, 긴급 후송 체계 연계",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
87,gq-108,SR028,concept,무인정찰기 운용의 장단점은?,"장점: 인명위험 감소, 장시간 체공. 단점: 통신 취약, 악천후 제한",pub:kida:780ab1feb626e0554a8e217b5547378f,0.30,low_grounding,,,,,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고
88,gq-109,SR029,concept,합동작전 수행 능력 강화 방안은?,"통합 지휘체계, 상호운용성 확보, 합동교육 강화, 정보 공유 체계",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
89,gq-110,SR030,concept,재래식 전력과 핵전력의 통합 운용 방안은?,"CNI 개념 적용, 재래식-핵 연계 작전계획, 억제 신호 명확화",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
