case_id,question,topic,difficulty,query_slice,relevant_publication_ids,relevant_pages,relevance_grade,expected_evidence,acceptable_abstention,created_by,reviewed_by,adjudication_status,notes,prior_case_id,prior_source_document,mapping_confidence,prior_keywords
gq-011,북한 핵고도화 대응을 위한 한국형 핵공유 옵션이란?,SECURITY,hard,exact_term,pub:kida:ff51af852bf7909c8d5d5c99c6089b3f,,3,"한국형 핵공유는 한미 간 핵전력 운용 협력 강화, NATO 핵공유 모델 참고",no,,,draft,매핑: 2023_부형욱_북핵고도화대응전략구상한국형핵공유옵션과핵협상에의활용,KW011,2023_부형욱_북핵고도화대응전략구상한국형핵공유옵션과핵협상에의활용,exact,핵공유;북핵;고도화;NATO;확장억제
gq-012,국방 정책 AI 개념설계 연구의 핵심 내용은?,AI_TECH,medium,exact_term,pub:kida:65126140b8accf27c4602672371a65e3,,3,"국방 정책 AI는 의사결정 지원, 데이터 분석, 정책 시뮬레이션 등에 AI 활용",no,,,draft,매핑: 2023_심승배_국방정책AI개념설계연구,KW012,2023_심승배_국방정책AI개념설계연구,exact,국방정책;AI;개념설계;의사결정
gq-013,DPG(국방기획지침)의 역할과 발전방향은?,POLICY,medium,exact_term,pub:kida:7780cc97fea95969492632b10b581ca6,,3,DPG는 국방정책 수립의 기본지침으로 군사력 건설 방향 제시,no,,,draft,매핑: 2019_최수동_국방정책에부합한군사력건설을위한한국의국방기획지침(DPG)발저,KW013,2019_최수동_국방정책에부합한군사력건설을위한한국의국방기획지침(DPG)발저,exact,DPG;국방기획지침;군사력건설;정책
gq-014,인태지역 주요국 군사력과 전략동향은?,INTERNATIONAL,medium,exact_term,pub:kida:d5ea895302069f644442cc44c0dd9eb5,,3,"인태지역에서 미중 경쟁 심화, 역내 국가들의 군비 증강 추세",no,,,draft,매핑: 2023_이상국_인태지역주요군사력과전략동향,KW014,2023_이상국_인태지역주요군사력과전략동향,exact,인태지역;군사력;전략동향;미중
gq-015,군사개혁 후 중국 인민해방군의 변화는?,INTERNATIONAL,hard,exact_term,pub:kida:3545eae573db173bfe188b69d8365208,,3,"중국군 군사개혁으로 합동작전체계 강화, 전구사령부 체제 개편",no,,,draft,매핑: 2019_이창형_군사개혁후의중국인민해방군연구,KW015,2019_이창형_군사개혁후의중국인민해방군연구,exact,중국;인민해방군;군사개혁;전구
gq-016,인공지능이 군 인사 선발에 어떻게 활용될 수 있는가?,AI_TECH,medium,concept,pub:kida:141e602a103e76d68efee4780087cc13,,3,"AI 면접 시스템을 통한 초급간부 선발, 객관적 평가 지원 등",no,,,draft,매핑: 2024_곽지희_초급간부선발시AI면접의발전방향,SR001,2024_곽지희_초급간부선발시AI면접의발전방향,exact,AI;면접;선발;인사
gq-017,드론과 로봇이 미래 전장에서 어떤 역할을 할 것인가?,AI_TECH,medium,concept,pub:kida:780ab1feb626e0554a8e217b5547378f,,3,"무인체계는 정찰, 공격, 물자수송 등 다양한 임무 수행, 유인체계와 협력",no,,,draft,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고,SR002,2024_나상욱_유무인복합체계_MUM-T_발전방향에대한소고,exact,드론;무인기;로봇;미래전
gq-018,현대전에서 민간 기술의 군사적 활용 사례는?,AI_TECH,medium,concept,pub:kida:035182e3c76ed3b460b222be0dcc2673,,3,"상용 드론의 정찰/공격 활용, AI/ML 기술의 표적 식별 적용 등 우크라이나 전쟁 사례",no,,,draft,매핑: 2024_유기현_2개의전쟁무엇을배울것인가,SR003,2024_유기현_2개의전쟁무엇을배울것인가,exact,민간기술;상용;드론;AI
gq-019,군 조직에서 스트레스 관리가 중요한 이유는?,PERSONNEL,easy,concept,pub:kida:d70a63c982c5d278d3e8700d5f977fca,,3,"스트레스 마인드셋이 조직 성과와 전투준비태세에 영향, 예방적 관리 필요",no,,,draft,매핑: 2024_박지연_군의스트레스관리방안에대한제언-스트레스마인드셋을중심으로,SR004,2024_박지연_군의스트레스관리방안에대한제언,prefix,스트레스;심리;관리;마인드셋
gq-020,기후변화가 군사 작전에 미치는 영향은?,POLICY,medium,concept,pub:kida:56645b2a20d711920e05b65748039d97,,3,"극한 기후로 인한 장비 운용 제한, 재해 대응 임무 증가, 에너지 효율성 요구",no,,,draft,매핑: 2024_이남석_기후변화와전투준비태세-선진국의대응과시사점,SR005,2024_이남석_기후변화와전투준비태세,prefix,기후변화;환경;작전;준비태세
gq-021,국방 분야에서 지속가능성이 왜 중요한가?,POLICY,medium,concept,pub:kida:4d90e7b6566afd03b37ee24bb662cf25,,3,"에너지 효율성 향상, 친환경 무기체계 개발, 장기적 군사력 유지를 위해 필수",no,,,draft,매핑: 2024_나상욱_국방부문의지속가능성(Sustainability)및에너지효율성향상정책검토,SR006,2024_나상욱_국방부문의지속가능성_Sustainability_및에너지효율성향상정책검토,exact,지속가능성;에너지;친환경;효율성
gq-022,전시에 군수물자를 안정적으로 공급하는 방법은?,POLICY,medium,concept,pub:kida:60b7c6f64ff31abb2907a468d3e4da00,,3,"성과기반 군수지원, 예측적 정비, 민간 물류 협력 등을 통한 지속지원성 확보",no,,,draft,매핑: 2024_권남연_전시우리군성과기반군수지원의지속지원성향상을위한발전,SR007,2024_권남연_전시우리군성과기반군수지원의지속지원성향상을위한발전,exact,군수;물류;지원;전시
gq-023,사이버 보안 인력 양성의 어려움은?,AI_TECH,medium,concept,pub:kida:cb834625898e6eafe83599beaaee859c,,3,"전문성 평가 기준 부재, 민간 대비 처우 열악, 빠른 기술 변화 대응 곤란",no,,,draft,매핑: 2024_김성태_국방사이버전문인력의전문성판단개선방안,SR008,2024_김성태_국방사이버전문인력의전문성판단개선방안,exact,사이버;인력;전문성;양성
gq-024,동맹국과의 군사 협력에서 표준화가 중요한 이유는?,INTERNATIONAL,medium,concept,,,,"상호운용성 확보, 연합작전 효율성 향상, 군수지원 간소화를 위해 표준화 필수",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR009,국방정책연구_상호운용성 관련 문서,none,동맹;협력;표준화;상호운용성
gq-025,젊은 세대의 군 기피 현상 해결 방안은?,PERSONNEL,easy,concept,pub:kida:e76f9384a52ef3808c8bd69909e01a52,,3,"처우 개선, 복무 환경 현대화, 경력 연계 강화, 사회적 인식 개선 등",no,,,draft,매핑: 2024_권현진_군간부획득영향요인과정책효과에대한인식,SR010,2024_권현진_군간부획득영향요인과정책효과에대한인식,exact,군 기피;인력;처우;MZ세대
gq-026,AI와 기계학습이 군사 분석에 어떻게 활용될 수 있는가?,AI_TECH,medium,concept,pub:kida:9d0de61457f6d51dc6ab6e2c49390c3c,,3,"AI/ML 기반 신속 통합 분석으로 정보 융합, 위협 예측, 의사결정 지원 가능",no,,,draft,매핑: 2023_김종회_기계학습기반신속통합분석연구,SR011,2023_김종회_기계학습기반신속통합분석연구,exact,기계학습;분석;AI;정보융합
gq-027,국방 소프트웨어 획득 제도의 문제점과 개선 방향은?,POLICY,medium,concept,pub:kida:bc3a9c9a14c66016c41eb20e670ccd8a,,3,"소프트웨어 특성 미반영, 획득 절차 경직성 문제. 애자일 개발, 민간 협력 강화 필요",no,,,draft,매핑: 2023_남기헌_국방소프트웨어획득제도정비방안,SR012,2023_남기헌_국방소프트웨어획득제도정비방안,exact,소프트웨어;획득;제도;애자일
gq-028,한국 사회문화적 변화가 군에 미치는 영향은?,PERSONNEL,easy,concept,pub:kida:04c54f24414c6959db7cf2cb298b5849,,3,"개인주의 확산, MZ세대 특성, 가치관 변화로 인한 복무 문화 및 리더십 변화 요구",no,,,draft,매핑: 2023_독고순_한국의사회문화적이슈가군에미친영향,SR013,2023_독고순_한국의사회문화적이슈가군에미친영향,exact,사회문화;MZ세대;가치관;복무문화
gq-029,효율적인 함정 정비를 위한 외주 활용 방안은?,POLICY,medium,concept,pub:kida:262ac13c060c99da338a0c17d7f9fed1,,3,"함정 정비 외주화로 비용 절감, 전문성 확보. 계약 관리, 품질 보증 체계 필요",no,,,draft,매핑: 2019_이성윤_효율적인함정외주정비추진방안,SR014,2019_이성윤_효율적인함정외주정비추진방안,exact,함정;정비;외주;효율
gq-030,국방 과학기술의 민간 이전은 어떻게 이루어지는가?,POLICY,medium,concept,pub:kida:c3041ffbe334de2bf5d03a6db540e820,,3,"기술 소유권 정립, 민간 이전 절차 간소화, 기술 사업화 지원 체계 구축",no,,,draft,매핑: 2023_양영철_국방과학기술소유권의민간이전방안검토,SR015,2023_양영철_국방과학기술소유권의민간이전방안검토,exact,과학기술;민간이전;기술사업화;소유권
gq-031,"우크라이나 전쟁과 이스라엘-하마스 전쟁의 공통된 교훈은 무엇이며, 이를 한국군에 어떻게 적용해야 하는가?",SECURITY,hard,multi_hop,pub:kida:035182e3c76ed3b460b222be0dcc2673,,3,"하이브리드전 일반화, 무인체계 활용 확대, 방어의 한계와 공격의 중요성 인식. 한국군은 대도시전투 준비, 무인체계 개념 정립, 선제적 공격작전 강화 필요",no,,,draft,매핑: 2024_유기현_2개의전쟁무엇을배울것인가 | 다중 문서 근거 필요,MH001,2024_유기현_2개의전쟁무엇을배울것인가,exact,우크라이나;이스라엘;교훈;한국군
gq-032,MUM-T 발전을 위해 필요한 기술적 요소와 제도적 요소를 각각 설명하시오.,AI_TECH,hard,multi_hop,pub:kida:780ab1feb626e0554a8e217b5547378f,,3,"기술적: 통신/데이터링크, AI/자율화 기술. 제도적: DIU 같은 민군 혁신생태계, 스타트업 참여 유도, 표준화된 플랫폼 구축",no,,,draft,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고 | 다중 문서 근거 필요,MH002,2024_나상욱_유무인복합체계_MUM-T_발전방향에대한소고,exact,MUM-T;기술;제도;발전방향
gq-033,북한 핵위협 대응을 위한 3축 체계와 한미 연합전력의 역할을 종합적으로 설명하시오.,SECURITY,hard,multi_hop,,,,"3축 체계(킬체인, KAMD, KMPR)와 한미 확장억제(핵우산, CNI) 통합. 선제타격, 미사일 방어, 응징보복의 중층 억제",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요,MH003,Multiple documents,none,3축;킬체인;KAMD;한미;확장억제
gq-034,국방 AI 적용 시 기술적 과제와 인력 양성 과제를 연계하여 설명하시오.,AI_TECH,hard,multi_hop,,,,"기술: AI/ML 신뢰성, 데이터 품질, 보안. 인력: 사이버 전문인력 전문성 평가 개선, 민간 경쟁력 확보, 교육체계 구축 필요",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요,MH004,"2024_곽지희, 2024_김성태",none,AI;인력;전문성;기술
gq-035,방산수출 성과와 국내 조달제도 개선 방향을 연계하여 정책 제언을 하시오.,POLICY,hard,multi_hop,,,,"방산수출 성과를 바탕으로 국내 조달의 글로벌 표준화, NATO 조달체계 참고, 민간 혁신기술 도입 절차 간소화 필요",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요,MH005,"2024_김동범, 2024_김병주, 2024_김지수",none,방산수출;조달;정책;개선
gq-036,인구감소 시대의 병역제도 변화 방향과 군 간부 획득 문제의 해결책을 종합하시오.,PERSONNEL,hard,multi_hop,,,,"병역제도: 질적 정예화, 복무기간 조정. 간부 획득: 처우 개선, 경력 연계, ROTC 활성화, 사회적 인식 개선 병행",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요,MH006,"국방정책연구_병역제도, 2024_권현진, 2024_김영곤",none,인구감소;병역;간부;획득
gq-037,사이버전과 우주전의 발전 동향을 비교하고 한국군의 대비 방향을 제시하시오.,SECURITY,hard,multi_hop,,,,"사이버: 전문인력 양성, 민관 협력. 우주: 위성공격무기 대응, 우주감시체계 구축. 공통: 기술 우위 확보, 법제도 정비 필요",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요,MH007,"2024_양지원, 2024_신용주, 2024_김성태",none,사이버;우주;전쟁;대비
gq-038,글로벌 사우스의 부상이 한국 국방정책에 미치는 영향과 대응 방안은?,INTERNATIONAL,hard,multi_hop,pub:kida:46286be240f4e70646737f212f0a2fa1,,3,"방산수출 시장 확대 기회, 다자 안보협력 필요성 증대. 대응: 전략적 파트너십 구축, 기술 협력, 국방외교 강화",no,,,draft,매핑: 2024_노인규_글로벌사우스의부상과한국의대외정책적과제 | 다중 문서 근거 필요,MH008,2024_노인규_글로벌사우스의부상과한국의대외정책적과제,exact,글로벌사우스;국방정책;방산;외교
gq-039,중대재해처벌법이 군에 미치는 영향과 군의 특수성을 고려한 적용 방안은?,POLICY,hard,multi_hop,pub:kida:10152162705b8b446f4c6f7d6a7b8360,,3,"군 작전/훈련 중 사고에 대한 법적 책임 문제. 군 특수성 반영한 예외 조항, 안전관리체계 강화, 지휘관 면책 범위 명확화 필요",no,,,draft,매핑: 2024_김미희_중대재해처벌법과군특수성,MH009,2024_김미희_중대재해처벌법과군특수성,exact,중대재해;처벌법;군 특수성;안전
gq-040,저위력 핵전력의 억제 논리와 한반도에서의 전략적 함의는?,SECURITY,hard,multi_hop,,,,"저위력 핵은 제한적 핵사용 옵션 제공으로 억제 신뢰성 강화. 한반도: 북핵 대응 시 확장억제 실효성, 한미 핵공유 논의와 연계",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요,MH010,국방정책연구_저위력핵,none,저위력;핵;억제;한반도
gq-041,러시아-우크라이나 전쟁의 종전 구상과 전쟁 향방을 분석하고 한반도에 대한 시사점을 도출하시오.,INTERNATIONAL,hard,multi_hop,pub:kida:a5c30566817e1c06d73ca05520f8e69c,,3,"전쟁 장기화 전망, 협상과 전투 병행. 한반도: 전쟁 억제 중요성, 군사적 대비 태세 유지, 외교적 해결 노력 병행",no,,,draft,매핑: 2023_노인규_러시아-우크라이나전쟁종전구상논의와전쟁의향방 | 다중 문서 근거 필요,MH011,2023_노인규_러시아-우크라이나전쟁종전구상논의와전쟁의향방,exact,러시아;우크라이나;종전;한반도
gq-042,핵보유국들의 핵정책을 비교하고 한국의 대북 핵전략에 대한 함의를 도출하시오.,SECURITY,hard,multi_hop,pub:kida:43cc77568f5dcc77ad2de626602c50f2,,3,"미, 러, 중 등 핵정책 비교. 선제사용/비선제사용, 억제전략 차이. 한국: 확장억제 강화, 한미 협력, 핵공유 검토",no,,,draft,매핑: 2023_박상현_핵보유국의핵정책비교연구 | 다중 문서 근거 필요,MH012,2023_박상현_핵보유국의핵정책비교연구,exact,핵정책;억제;선제사용;핵전략
gq-043,AI 기반 북한 군사정세 분석과 전통적 분석의 장단점을 비교하고 통합 활용 방안을 제시하시오.,AI_TECH,hard,multi_hop,pub:kida:0f8510f865a0e83e2a77167d0e94b546,,3,"AI 분석: 대량 데이터 처리, 패턴 인식. 전통 분석: 맥락 이해, 전문가 판단. 통합: 상호보완적 활용, 검증 체계 구축",no,,,draft,매핑: 2023_이중구_인공지능기반북한군사정세분석시범연구 | 다중 문서 근거 필요,MH013,2023_이중구_인공지능기반북한군사정세분석시범연구,exact,AI;북한;군사정세;분석
gq-044,미래 국방환경 변화에 따른 군무원의 역할 재정립과 인력 운영 개선 방향을 종합하시오.,PERSONNEL,hard,multi_hop,pub:kida:3c7e92c303d23f16c088198563bf3951,,3,"기술 전문성 요구 증가, 민간 인력 활용 확대. 군무원: 전문 분야 역할 강화, 경력개발 체계 구축, 민군 협력 강화",no,,,draft,매핑: 2023_오혜_미래국방환경에부합한군무원의역할활용분야정립 | 다중 문서 근거 필요,MH014,2023_오혜_미래국방환경에부합한군무원의역할활용분야정립,exact,군무원;역할;인력운영;미래국방
gq-045,2023년 세계 분쟁 분석과 북한 전략동향 평가를 종합하여 한반도 안보 전망을 제시하시오.,SECURITY,hard,multi_hop,,,,"세계 분쟁 증가 추세, 북한 핵미사일 고도화. 한반도: 안보 불확실성 증대, 동맹 강화, 독자 억제력 확보 필요",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요,MH015,"2023_장혜진, 2023_손효종",none,세계분쟁;북한;전략동향;안보
gq-046,2025년 국방예산 총액은 얼마인가?,POLICY,easy,abstention,,,,해당 정보가 제공된 문서에 없습니다,yes,,,draft,문서에 없는 미래 정보를 묻는 함정 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요,TR001,N/A,none,2025;예산
gq-047,한국군의 F-35 스텔스 전투기 총 보유 대수는?,WEAPON_SYSTEM,easy,abstention,,,,해당 정보가 제공된 문서에 없습니다,yes,,,draft,구체적 수치를 묻지만 문서에 없음 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요,TR002,N/A,none,F-35;스텔스;전투기
gq-048,북한이 2024년에 발사한 미사일의 총 횟수는?,SECURITY,easy,abstention,,,,해당 정보가 제공된 문서에 없습니다,yes,,,draft,최신 통계를 묻는 함정 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요,TR003,N/A,none,북한;미사일;2024
gq-049,AI가 완전히 자율적으로 공격 결정을 내리는 무기체계의 사례는?,AI_TECH,medium,abstention,pub:kida:780ab1feb626e0554a8e217b5547378f,,,완전 자율 공격 무기에 대한 구체적 사례는 문서에 없습니다. 문서에서는 유무인복합체계(MUM-T)의 인간-기계 협력을 다루고 있습니다.,yes,,,draft,과장된 전제의 함정 | 매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고,TR004,2024_나상욱_유무인복합체계_MUM-T_발전방향에대한소고,exact,자율;AI;무기;공격
gq-050,한국이 핵무기를 보유하게 된 경위는?,SECURITY,easy,abstention,,,,한국은 핵무기를 보유하고 있지 않습니다. 문서에서는 북한 핵위협 대응과 한미 확장억제를 다루고 있습니다.,yes,,,draft,잘못된 전제의 함정 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요,TR005,N/A,none,한국;핵무기;보유
gq-051,국방부 장관의 이름은?,POLICY,easy,abstention,,,,해당 정보가 제공된 문서에 없습니다,yes,,,draft,정책 문서와 무관한 인물 정보 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요,TR006,N/A,none,장관;이름
gq-052,우크라이나 전쟁에서 러시아가 승리한 이유는?,INTERNATIONAL,medium,abstention,pub:kida:035182e3c76ed3b460b222be0dcc2673,,,전쟁이 아직 진행 중이며 러시아의 승리를 다룬 내용은 문서에 없습니다. 문서에서는 2개 전쟁의 교훈과 시사점을 분석하고 있습니다.,yes,,,draft,확정되지 않은 결과를 전제한 함정 | 매핑: 2024_유기현_2개의전쟁무엇을배울것인가,TR007,2024_유기현_2개의전쟁무엇을배울것인가,exact,우크라이나;러시아;승리
gq-053,모든 군 장병에게 AI 면접이 의무적으로 적용되는 시기는?,AI_TECH,medium,abstention,pub:kida:141e602a103e76d68efee4780087cc13,,,AI 면접의 의무 적용 시기에 대한 정보는 문서에 없습니다. 문서에서는 AI 면접의 발전 방향과 장단점을 논의하고 있습니다.,yes,,,draft,확정되지 않은 정책을 전제한 함정 | 매핑: 2024_곽지희_초급간부선발시AI면접의발전방향,TR008,2024_곽지희_초급간부선발시AI면접의발전방향,exact,AI;면접;의무;시기
gq-054,글로벌 사우스 국가 중 한국과 방산 협력 계약을 체결한 국가를 모두 나열하시오.,INTERNATIONAL,medium,abstention,pub:kida:46286be240f4e70646737f212f0a2fa1,,,구체적인 방산 협력 계약 국가 목록은 문서에 없습니다. 문서에서는 글로벌 사우스의 부상과 한국의 정책적 과제를 다루고 있습니다.,yes,,,draft,구체적 목록을 요구하는 함정 | 매핑: 2024_노인규_글로벌사우스의부상과한국의대외정책적과제,TR009,2024_노인규_글로벌사우스의부상과한국의대외정책적과제,exact,글로벌사우스;방산;계약;국가
gq-055,중대재해처벌법 위반으로 처벌받은 군 지휘관의 사례는?,POLICY,medium,abstention,pub:kida:10152162705b8b446f4c6f7d6a7b8360,,,구체적인 처벌 사례는 문서에 없습니다. 문서에서는 중대재해처벌법과 군 특수성의 법적 쟁점을 다루고 있습니다.,yes,,,draft,구체적 사례를 요구하는 함정 | 매핑: 2024_김미희_중대재해처벌법과군특수성,TR010,2024_김미희_중대재해처벌법과군특수성,exact,중대재해;처벌;지휘관;사례
gq-056,2027년까지 북한의 핵무기 보유량 예측치는?,SECURITY,easy,abstention,pub:kida:9b7174c6b46b22d0f39893e6616742fd,,,해당 정보가 제공된 문서에 없습니다. 문서에서는 북한 전략동향 및 위협 평가를 다루고 있습니다.,yes,,,draft,구체적 수치 예측을 요구하는 함정 | 매핑: 2023_손효종_2023~2027북한전략동향및위협 평가(I),TR011,2023_손효종_2023~2027북한전략동향및위협 평가(I),exact,북한;핵무기;보유량;2027
gq-057,한국군이 구매한 신영역 작전 장비의 총 비용은?,WEAPON_SYSTEM,easy,abstention,pub:kida:d97f67aac09c745bce808e48ca694533,,,해당 정보가 제공된 문서에 없습니다. 문서에서는 신영역 작전 수행 개념과 미사일 전략 방향을 다루고 있습니다.,yes,,,draft,문서에 없는 구체적 비용 정보 | 매핑: 2023_김기원_신영역작전수행개념과연계한한반도미사일전략발전방향연구,TR012,2023_김기원_신영역작전수행개념과연계한한반도미사일전략발전방향연구,exact,신영역;장비;비용;구매
gq-058,AI 전쟁 패러다임 변화로 인해 폐지된 군 부대 목록은?,AI_TECH,medium,abstention,pub:kida:d7a2af473c4d3d519c12d7be47cec10b,,,구체적인 부대 폐지 목록은 문서에 없습니다. 문서에서는 AI가 전쟁 패러다임에 미치는 영향을 다루고 있습니다.,yes,,,draft,확정되지 않은 조직 변화를 전제한 함정 | 매핑: 2023_유기현_인공지능(AI)과전쟁패러다임변화연구,TR013,2023_유기현_인공지능(AI)과전쟁패러다임변화연구,exact,AI;전쟁;폐지;부대
gq-059,국방 연구개발 예산 중 민간 이전 비율의 연도별 추이는?,POLICY,medium,abstention,pub:kida:3025dddc8f7fedde49e600d07034cce9,,,구체적인 연도별 추이 데이터는 문서에 없습니다. 문서에서는 국방 연구개발 역량 강화 방안을 다루고 있습니다.,yes,,,draft,구체적 통계 데이터를 요구하는 함정 | 매핑: 2019_이상경_한국의국방연구개발역량강화방안정책·제도인력조직예산부문ᄌ,TR014,2019_이상경_한국의국방연구개발역량강화방안정책·제도인력조직예산부문ᄌ,exact,연구개발;예산;민간이전;비율
gq-060,중국 인민해방군 군사개혁에서 해임된 장성의 명단은?,INTERNATIONAL,medium,abstention,pub:kida:3545eae573db173bfe188b69d8365208,,,구체적인 해임 장성 명단은 문서에 없습니다. 문서에서는 군사개혁 후 중국 인민해방군의 조직 변화를 다루고 있습니다.,yes,,,draft,구체적 인물 정보를 요구하는 함정 | 매핑: 2019_이창형_군사개혁후의중국인민해방군연구,TR015,2019_이창형_군사개혁후의중국인민해방군연구,exact,중국;인민해방군;해임;장성
gq-061,SLBM(잠수함발사탄도미사일)의 전략적 가치는?,WEAPON_SYSTEM,medium,exact_term,,,,SLBM은 은밀성 기반 2차 타격 능력 보장으로 핵억제력 강화에 기여,no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW016,국방정책연구_SLBM 관련 문서,none,SLBM;잠수함;탄도미사일;2차 타격
gq-062,C4ISR 체계의 구성요소는?,AI_TECH,medium,exact_term,pub:kida:035182e3c76ed3b460b222be0dcc2673,,3,"C4ISR은 지휘(Command), 통제(Control), 통신(Communication), 컴퓨터(Computer), 정보(Intelligence), 감시(Surveillance), 정찰(Reconnaissance)로 구성",no,,,draft,매핑: 2024_유기현_2개의전쟁무엇을배울것인가,KW017,2024_유기현_2개의전쟁무엇을배울것인가,exact,C4ISR;지휘통제;통신;정보
