publication_id,publication_type,source_filename,filename_bytes,review_reasons,page_count,character_count,suggested_title,suggestion_evidence,suggestion_confidence,cover_page_preview,decision,confirmed_title,reviewer_notes
pub:kida:4a25e293d13488f7e0e07737282e9de5,defense_policy_research,2024_강신욱_연합작전에서의상호운용성개념및한국군발전방안한미연합.pdf,253,파일명 240바이트 이상이며 표지 제목 없음,29,33008,연합작전에서의 상호운용성 개념 및 한국군 발전방안,cover_page,0.96,"국방정책연구 2024년 가을(40-3) 통권 제145호 pp. 91-119 http://dx.doi.org/10.22883/jdps.2024.40.3.004 ISSN 1598-6101(print), 2672-1392(online) 연합작전에서의 상호운용성 개념 및 한국군 발전방안: 한미연합사단 사례를 중심으로† 강신욱*1) I. 서론 II. 상호운용성 개념 고찰 III. 한미연합사단의 상호운용성 발전 노력과 한국군 발전방안 IV. 결론 †이 글은 2024년 “연합사단 군사혁신 논문집”에 작성한 내용을 수정・보완한 글임을 밝힙니다. * 대한민국 육군 소령, 국방대 군사전략학 석사, rkdtlsdnr9@naver.com Abstract Concept of Interoperability in Combined Op",apporve,연합작전에서의 상호운용성 개념 및 한국군 발전방안,
pub:kida:52bf4cd6efc1657f17d1b718c1af7f82,defense_policy_research,2025_김병채_국내외안보불안정성이국방예산에미치는영향분석및국방기획ᄀ.pdf,253,파일명이 불완전 한글 자모로 끝나며 표지 제목 없음,47,52095,국내외 안보 불안정성이 국방예산에 미치는 영향 분석 및 국방기획관리 제도와의 연계,cover_page,0.96,"국방정책연구 2025년 봄(41-1) 통권 제147호 pp. 171-217 http://dx.doi.org/10.22883/jdps.2025.41.1.006 ISSN 1598-6101(print), 2672-1392(online) 국내외 안보 불안정성이 국방예산에 미치는 영향 분석 및 국방기획관리 제도와의 연계 1)† 김병채*2) I. 서론 II. 선행연구 검토 III. 분석 자료 IV. 분석모형 및 결과 V. 국방기획관리 제도와의 연계 VI. 결론 Abstract Impact of North Korean Provocation and International Security Issue on Defense Budget and Its Linkage with PPBES This study quantified se",apporve,국내외 안보 불안정성이 국방예산에 미치는 영향 분석 및 국방기획관리 제도와의 연계,
pub:kida:60df075f7794c818b4c54718d6b72b42,defense_policy_research,2025_정성원_원자력추진잠수함(SSBN)기반한국형핵공유체제의가능성과전략적가.pdf,253,파일명 240바이트 이상이며 표지 제목 없음,28,33806,원자력추진잠수함(SSBN) 기반 한국형 핵공유 체제의 가능성과 전략적 가치,cover_page,0.96,"국방정책연구 2025년 가을(41-3) 통권 제149호 pp. 57-84 http://dx.doi.org/10.22883/jdps.2025.41.3.003 ISSN 1598-6101(print), 2672-1392(online) 원자력추진잠수함(SSBN) 기반 한국형 핵공유 체제의 가능성과 전략적 가치 1)† 정성원* I. 서론 II. 안보 환경의 변화와 한국의 대응 방향 III. SSBN 기반 한국형 핵공유 체제의 필요성과 가능성 IV. SSBN 기반 한국형 핵공유 체제의 전략적 가치 V. 도입의 전제조건과 운용방안 VI. 결론 Abstract Assessing the Feasibility and Strategic Value of a Korea-specific SSBN-based Nuclear-sharin",apporve,원자력추진잠수함(SSBN) 기반 한국형 핵공유 체제의 가능성과 전략적 가치,
pub:kida:6db64701545962a126f5e3745297cf92,defense_forum,"2025_강소영_에너지전환의시대,지속가능한해양안보와해상풍력발전을위한제언.pdf",254,파일명 240바이트 이상이며 표지 제목 없음,12,15667,"에너지 전환의 시대, 지속 가능한 해양안보와 해상풍력발전을 위한 제언",cover_page,0.96,"제2059호(25-36) 2025년 9월 15일 발행처 한국국방연구원 발행인 김정수 편집인 박수현 에너지 전환의 시대, 지속 가능한 해양안보와 해상풍력발전을 위한 제언 강소영 한국국방연구원 국방자원연구센터 sykang@kida.re.kr 탄소중립과 에너지 전환의 시대에 해상풍력발전은 단순한 재생에너지 설비를 넘어 국가안보와 해 양주권을 동시에 아우르는 전략 인프라로 부상하고 있다. 특히 정부의 국정과제로 ‘재생에너지 중심 에너지 대전환’과 ‘에너지 고속도로 구축’이 포함됨에 따라, 해상풍력발전의 확산은 가속화될 전망이 다. 그러나 일부 국가에서는 국가안보를 이유로 사업을 취소하거나 축소하는 사례가 나타나고 있다. 이는 대규모 해상풍력 단지가 군의 임무 수행 및 안보전략과 충돌하는 상황에 직면했기 때문이다. ",apporve,"에너지 전환의 시대, 지속 가능한 해양안보와 해상풍력발전을 위한 제언",
pub:kida:7bcf488d154a324afc68667186b40c42,defense_forum,2025_이남석_중국의기후변화대응전략과함의-글로벌영향력확대를중심으로.pdf,245,파일명 240바이트 이상이며 표지 제목 없음,11,13598,중국의 기후변화 대응 전략과 함의,cover_page,0.96,"제2041호(25-18) 2025년 5월 12일 발행처 한국국방연구원 발행인 김정수 편집인 박수현 중국의 기후변화 대응 전략과 함의: 글로벌 영향력 확대를 중심으로 이남석 한국국방연구원 국방자원연구센터 nslee@kida.re.kr 21세기 들어 기후변화는 국제사회에서 새로운 지정학적 관계와 경쟁을 촉발했다. 특히 중국은 기후 거버넌스에서의 리더십을 강조하고, 친환경 에너지 기술 분야에서 경제적 우위를 점하며, 인도적 지원 을 군사력 확장을 위한 수단으로 활용함으로써 중추적인 글로벌 행위자로 자리매김하고 있다. 인도·태 평양 안보 관점에서 우리는 중국의 다각적인 기후변화 대응 전략을 심도 있게 분석할 필요가 있다. 첫째, 외교 영향력 측면에서 중국은 글로벌 기후 거버넌스를 주도하는 동시에 녹색 보호주의로 분",apporve,중국의 기후변화 대응 전략과 함의,
pub:kida:7de5ee2fe36cc9a45dec3084137a32ec,defense_policy_research,2023_김정원_공군간부및군무원의성공을위한노력이조직행동에미치는영향.pdf,250,파일명 240바이트 이상이며 표지 제목 없음,37,51008,공군 간부 및 군무원의 성공을 위한 노력이 조직행동에 미치는 영향,cover_page,0.96,"국방정책연구 2023년 가을(39-3) 통권 제141호 pp. 157-193 http://dx.doi.org/10.22883/jdps.2023.39.3.006 ISSN 1598-6101(print), 2672-1392(online) 공군 간부 및 군무원의 성공을 위한 노력이 조직행동에 미치는 영향 김정원*, 이혜원**, 김광태***, 손영우****1) I. 연구배경 II. 이론적 배경 III. 연구 방법 IV. 연구 결과 V. 논의 * 제1저자, 공군 소령, 연세대학교 심리학과 석사과정, sue6511@gmail.com ** 제2저자, 연세대학교, 심리학 박사, jesshyewon@gmail.com *** 제3저자, 연세대학교, 연세대학교 심리학과 박사과정, chriskt@yonsei.ac.kr **** 교",apporve,공군 간부 및 군무원의 성공을 위한 노력이 조직행동에 미치는 영향,
pub:kida:8250bfac60bb4a708239de14c67dac3f,defense_policy_research,2025_장용_북한핵사용에대비한한미의전쟁수행과재래식-핵전력통합(CNI)운용에.pdf,253,파일명 240바이트 이상이며 표지 제목 없음,28,30607,북한 핵사용에 대비한 한미의 전쟁수행과 재래식·핵 전력 통합(CNI) 운용에 관한 연구,cover_page,0.96,"국방정책연구 2025년 여름(41-2) 통권 제148호 pp. 171-198 http://dx.doi.org/10.22883/jdps.2025.41.2.006 ISSN 1598-6101(print), 2672-1392(online) 북한 핵사용에 대비한 한미의 전쟁수행과 재래식·핵 전력 통합(CNI) 운용에 관한 연구† 1) 장용* I. 서론 II. 북한의 핵태세와 핵능력 III. 한미의 북한 핵사용 억제와 대응 모델 IV. 요구되는 동맹의 군사전략 V. 한미 재래식 및 핵 전력 통합(CNI) 운용 VI. 결론 Abstract A Study on Integration of Conventional Nuclear Forces and South Korea-US Conduct War Against North Kor",apporve,북한 핵사용에 대비한 한미의 전쟁수행과 재래식·핵 전력 통합(CNI) 운용에 관한 연구,
pub:kida:848040ea09e7dfd79dca98448274c7a1,defense_policy_research,2024_김자희_북한의암호화폐탈취에대한국제법적대응책검토해킹백을통한사이.pdf,253,파일명 240바이트 이상이며 표지 제목 없음,31,37190,북한의 암호화폐 탈취에 대한 국제법적 대응책 검토,cover_page,0.96,"국방정책연구 2023년 겨울(39-4) 통권 제142호 pp. 33-63 http://dx.doi.org/10.22883/jdps.2024.39.4.002 ISSN 1598-6101(print), 2672-1392(online) 북한의 암호화폐 탈취에 대한 국제법적 대응책 검토: 해킹백을 통한 사이버 억지력 제고† 김자희*, 이경민**1) I. 문제제기 II. 북한의 암호화폐 탈취 집중 배경 III. 북한의 암호화폐 탈취의 국제법 위반 검토 IV. 해킹백을 중심으로 한 국제법적 대응 검토 V. 해킹백의 전략적・안보적 함의 VI. 결론 † 본 논문은 국가정보원이 주최하고 한국사이버안보학회가 주관한 2023 사이버안보 논문 공모전에 서 최우수상으로 선정된 논문을 토대로 수정・보완한 논문입니다. 본고는 두 저",apporve,북한의 암호화폐 탈취에 대한 국제법적 대응책 검토,
pub:kida:86a3c4e802861e213dc629172ff95640,defense_policy_research,2025_송세찬_상업위성의군사적활용가능성과정책적시사점美우주군TacSRT사례분석.pdf,253,파일명 240바이트 이상이며 표지 제목 없음,21,22424,상업위성의 군사적 활용 가능성과 정책적 시사점,cover_page,0.96,"국방정책연구 2025년 여름(41-2) 통권 제148호 pp. 77-97 http://dx.doi.org/10.22883/jdps.2025.41.2.003 ISSN 1598-6101(print), 2672-1392(online) 상업위성의 군사적 활용 가능성과 정책적 시사점: 美 우주군 TacSRT 사례 분석을 중심으로 1)2) 송세찬* 박성한** I. 서론 II. 이론적 배경 III. 美 우주군 TacSRT 개념과 사례 IV. TacSRT의 한국군 적용 가능성 분석 V. TacSRT 운용상의 제도적·작전적 제약과 정책 대응 방안 VI. 결론 Abstract Military Applications and Policy Implications of Commercial Satellites: A Case Study",apporve,상업위성의 군사적 활용 가능성과 정책적 시사점,
pub:kida:870cdc0b1dddb980683736432b4329cb,defense_policy_research,2024_곽한성_LCC분석및몬테카를로시뮬레이션을활용한노후군주거시설재건축리.pdf,253,파일명 240바이트 이상이며 표지 제목 없음,39,35059,LCC 분석 및 몬테카를로 시뮬레이션을 활용한 노후 군 주거시설 재건축・리모델링 판단기준 정립 연구,cover_page,0.96,"국방정책연구 2024년 여름(40-2) 통권 제144호 pp. 121-159 http://dx.doi.org/10.22883/jdps.2024.40.2.004 ISSN 1598-6101(print), 2672-1392(online) LCC 분석 및 몬테카를로 시뮬레이션을 활용한 노후 군 주거시설 재건축・리모델링 판단기준 정립 연구 곽한성* 김강현**1) I. 서론 II. 이론적 고찰 III. 군 주거시설 재건축・리모델링 판단 준거기준 수립절차 IV. 절차 적용 V. 결론 및 제언 Abstract A Study on the Criteria for Decision-making on Reconstruction and Remodeling of the Deteriorated Military Facilities usi",apporve,LCC 분석 및 몬테카를로 시뮬레이션을 활용한 노후 군 주거시설 재건축・리모델링 판단기준 정립 연구,
pub:kida:8cb0c622cd3e30899ebe161171aafbfb,defense_policy_research,2025_김영범_공군조종사의부정적피드백이피드백수용에미치는영향수치심과심ᄅ.pdf,253,파일명이 불완전 한글 자모로 끝나며 표지 제목 없음,38,47229,공군 조종사의 부정적 피드백이 피드백 수용에 미치는 영향,cover_page,0.96,"국방정책연구 2025년 여름(41-2) 통권 제148호 pp. 99-136 http://dx.doi.org/10.22883/jdps.2025.41.2.004 ISSN 1598-6101(print), 2672-1392(online) 공군 조종사의 부정적 피드백이 피드백 수용에 미치는 영향: 수치심과 심리적 안전감의 조절된 매개모형 1) 김영범*, 이주연**, 손영우*** I. 서론 II. 이론적 배경 및 연구 가설 III. 연구 방법 IV. 연구 결과 V. 논의 Abstract The Effect of Negative Feedback on Feedback Acceptance Among Air Force Pilots: A Moderated Mediation Model of Shame and Psychologic",apporve,공군 조종사의 부정적 피드백이 피드백 수용에 미치는 영향,
pub:kida:91cee702fb765eb15850356a5635c790,kida_brief,2020_김영도_국방사이버전문인력획득및양성을위한직무체계수립및활용방.pdf,253,파일명 240바이트 이상이며 표지 제목 없음,4,4998,국방 사이버 전문인력 획득 및 양성을 위한 직무체계 수립 및 활용 방안,cover_page,0.96,"배경과 목적 수행 결과 KIDA Brief 1 국방 사이버 전문인력 획득 및 양성을 위한 직무체계 수립 및 활용 방안 김영도 군사발전연구센터 고도화된 사이버 작전 수행을 위해 전문인력의 체계적 운영 방안 연구 ◎ 사이버 위협에 대한 피해로 국가 안보까지 위협받는 상황이 발생하고 있음 - 이에 대한 체계적 대응과 능동적 대처를 위해 전문인력의 효과적인 운영이 필요함 ◎ 따라서 사이버 전문인력의 체계적 획득 및 관리를 위한 방안 마련이 요구됨 사이버 전문인력의 체계적 운영 수단으로서 사이버 직무체계 수립 및 활용 방안 제시 ◎ 사이버 직무체계 수립 - 업무 수행에 필요한 직무들을 식별한 ‘직무분류체계’ - 직무별 수행해야 할 과업과 필요한 지식, 기술, 능력을 기술한 ‘직무분석서’ - 직무군에 대해 전문성 수준",apporve,국방 사이버 전문인력 획득 및 양성을 위한 직무체계 수립 및 활용 방안,
pub:kida:983e2eb4ed03b461fe4a8393f7524e72,defense_policy_research,2024_남기성_한미재래식핵통합(CNI)구현을위한한국군항공우주력발전방향.pdf,243,파일명 240바이트 이상이며 표지 제목 없음,34,40298,한・미 재래식핵통합(CNI) 구현을 위한 한국군 항공우주력 발전방향,cover_page,0.96,"국방정책연구 2024년 여름(40-2) 통권 제144호 pp. 7-40 http://dx.doi.org/10.22883/jdps.2024.40.2.001 ISSN 1598-6101(print), 2672-1392(online) 한・미 재래식핵통합(CNI) 구현을 위한 한국군 항공우주력 발전방향 남기성*1) I. 서론 II. 북핵 위협과 韓・美 재래식핵통합(CNI)의 등장 III. 美 핵 운용 및 재래식핵통합(CNI) 개념 IV. 재래식핵통합(CNI)을 위한 항공우주력 발전방향 V. 결론 * 공군 중령(진), 합동군사대학교 합동고급정규과정 학생장교, nkstar1110@gmail.com Abstract The Development of the R.O.K Military Air & Space Force for ",apporve,한・미 재래식핵통합(CNI) 구현을 위한 한국군 항공우주력 발전방향,
pub:kida:a9d1df00dd1803ae2cbe34bf56d86489,defense_policy_research,2025_장석준_북한군병영생활을통해본김정일-김정은시대당군관계변화‘ᄋ.pdf,254,파일명이 불완전 한글 자모로 끝나며 표지 제목 없음,37,45955,북한군 병영생활을 통해 본 김정일-김정은 시대 당・군 관계 변화,cover_page,0.96,"국방정책연구 2025년 여름(41-2) 통권 제148호 pp. 9-45 http://dx.doi.org/10.22883/jdps.2025.41.2.001 ISSN 1598-6101(print), 2672-1392(online) 북한군 병영생활을 통해 본 김정일-김정은 시대 당・군 관계 변화: ‘이중적 후견관계’를 중심으로† 1) 장석준*, 임재천** I. 서론 II. 이론적 논의 III. 김정일-김정은 시대 당·군 관계 IV. 김정일-김정은 시대 북한군 내 ‘이중적 후견관계’ V. 결론 Abstract Change of Party-Military Relations from the Kim Jong Il to the Kim Jong Un Era Through North Korean Military Life: W",apporve,북한군 병영생활을 통해 본 김정일-김정은 시대 당・군 관계 변화,
pub:kida:abd8b50ffccb41148e28dbfd07ea8ed2,defense_policy_research,2024_오상훈_사회심리학군사이론관점에서의인지전수행개념연구이스라엘하마스ᄆ.pdf,253,파일명이 불완전 한글 자모로 끝나며 표지 제목 없음,44,50316,사회심리학・군사이론 관점에서의 인지전 수행개념 연구,cover_page,0.96,"국방정책연구 2024년 여름(40-2) 통권 제144호 pp. 77-120 http://dx.doi.org/10.22883/jdps.2024.40.2.003 ISSN 1598-6101(print), 2672-1392(online) 사회심리학・군사이론 관점에서의 인지전 수행개념 연구: 이스라엘 - 하마스 무력충돌을 중심으로 오상훈*, 여창재**, 송봉근***1) I. 서론 II. 이론적 고찰 III. 이스라엘- 하마스 무력충돌 사례분석 IV. 국방에의 함의 V. 결론 * 육군 소령, 육군대학 외국군수탁교육장교/교관, rurouni817@naver.com ** 육군 중령, 육군대학 전술담임교관, ycjiflita@naver.com *** 육군 소령, 육군대학 운용교리장교, songbg91@naver.com Ab",apporve,사회심리학・군사이론 관점에서의 인지전 수행개념 연구,
pub:kida:c4a85bb9f04d4784fce18435127c2c68,defense_policy_research,2025_남궁우용_AI과학기술강군구현을위한군의역할강화국방연구개발(R&D)효율서.pdf,254,파일명 240바이트 이상이며 표지 제목 없음,30,33996,AI 과학기술강군 구현을 위한 군의 역할 강화,cover_page,0.96,"국방정책연구 2024년 겨울(40-4) 통권 제146호 pp. 7-36 http://dx.doi.org/10.22883/jdps.2025.40.4.001 ISSN 1598-6101(print), 2672-1392(online) AI 과학기술강군 구현을 위한 군의 역할 강화 - 국방연구개발(R&D) 효율성 향상 중심으로 - 남궁우용*1) I. 서론 II. 우리 군의 혁신사례 및 국방혁신 4.0 주요 내용 III. 국방연구개발(R&D) 현황 및 문제점에 대한 고찰 IV. 국방연구개발 효율성 향상을 위한 군의 역할 강화 V. 결론 Abstract Strengthening the Role of Military for Achievement of Fostering a Robust Armed Forces of AI Sc",apporve,AI 과학기술강군 구현을 위한 군의 역할 강화,
pub:kida:c952cd1efb9d045b0f3570fc69102127,defense_policy_research,2023_김진호_미래전에대비한한국군인지전발전방향인지전개념전개양상그리.pdf,253,파일명 240바이트 이상이며 표지 제목 없음,40,43613,미래전에 대비한 한국군 인지전 발전 방향,cover_page,0.96,"국방정책연구 2023년 가을(39-3) 통권 제141호 pp. 93-132 http://dx.doi.org/10.22883/jdps.2023.39.3.004 ISSN 1598-6101(print), 2672-1392(online) 미래전에 대비한 한국군 인지전 발전 방향: 인지전 개념, 전개 양상, 그리고 전략적 대응 김진호*, 최영찬**1) I. 서론 II. 인지전에 관한 이론적 논의 III. 주요 국가 인지전 전략 및 전개 양상 IV. 한국군 인지전 발전 방향 V. 결론 * 합동군사대학교 학생장교, 군사학 석사, jhcome9@hanmail.net ** 교신저자, 합동군사대학교 교관, 국제정치학 박사, na46choi@naver.com Abstract The Direction of Development ",apporve,미래전에 대비한 한국군 인지전 발전 방향,
