case_id,prior_case_id,query_slice,question,expected_evidence,relevant_publication_ids,document_title,page_count,proposed_pages,proposal_coverage,proposal_confidence,proposed_page_text,relevant_pages,relevance_grade,reviewed_by,decision_basis,notes
gq-025,SR010,concept,젊은 세대의 군 기피 현상 해결 방안은?,"처우 개선, 복무 환경 현대화, 경력 연계 강화, 사회적 인식 개선 등",pub:kida:e76f9384a52ef3808c8bd69909e01a52,군간부획득영향요인과정책효과에대한인식,16,"7,5,10",0.38,strong,"p7: KIDA Defense Issues & Analyses - 대표한다. 현역병을 ‘군 간부 복무를 한번도 진지하게 고려하지 않은 인원’(80.4%), ‘군 간부 복무 를 진지하게 고려했으나 지원 경험은 없는 인원’(13.7%), ‘군 간부 복무에 지원한 경험이 있으나 자발적으로 복무를 포기한 인원’(3.19%), ‘‘군 간부 복무에 지원한 경험이 있으나 비자발적으로 탈락한 인원’(2.71%)으…  ||  p5: KIDA Defense Issues & Analyses - 써 충분한 수준의 상비병력 규모를 달성할 수 있지 않을까? 2045년 인구구조 아래 2022년 수준의 남자 간부 지원율을 유지하는 경우, 상비병력 33.5만 명을 달성하려면 간부 평균 복무기간이 약 19년까지 늘어나야 한다.11) 이는 2022년 전역자 평균 복무기간 9.33년의 2배를 넘는 값이다. 정년 이 60세까지 보장되는 공무…  ||  p10: KIDA D efense Issues & Analyses - * 주: 표의 ‘추정확률’은 다항로짓모형을 통해 추정한 추정확률이다. 모형 추정 시 군종, 계급, 교육수준, 생년, 제대 후 계획 등을 통제하였다. 모든 정책대안의 추정확률은 1% 유의수준에서 유의하다. 전체 표본 중 군 간부 복무를 진지하게 고려했던 인원에 대한 분석으로 회귀분석 표본 수는 1,724명이다. 정책별 효과의 크기는 …",,,,(decided),매핑: 2024_권현진_군간부획득영향요인과정책효과에대한인식
gq-027,SR012,concept,국방 소프트웨어 획득 제도의 문제점과 개선 방향은?,"소프트웨어 특성 미반영, 획득 절차 경직성 문제. 애자일 개발, 민간 협력 강화 필요",pub:kida:bc3a9c9a14c66016c41eb20e670ccd8a,국방소프트웨어획득제도정비방안,6,"3,5,6",0.36,strong,"p3: 요 약 우리 군은 인공지능 강군 육성을 목표로 국방혁신 4.0을 추진하고 있고, 그 일환으 로 한국형 전력증강 프로세스 재정립 방안을 모색하고 있다. 이와 관련하여 국방획득 체계 측면에서 추진되고 있는 가장 큰 변화는 기존의 중장기 소요 획득과 긴급소요 획득 등 2개 절차를 긴급, 일반, 신속, 시범운용 후 획득, 소프트웨어의 5개 절차로 세분화하는 것이다. 이 중에서 소프트웨어 획득절차는 …  ||  p5: 회계감사원(GAO)의 연례 사업분석에서도 초기에는 배포주기에 중점을 두었다면 2023년도부터는 사용자 평가 및 환류 시점, 주기 등에 관심을 가졌다. 셋째, 획득과 운영유지 단계를 분리하지 않고 지속적으로 성능을 개선할 수 있는 다양한 노력을 강 구하고 있다. 기본적으로 개발을 완료하여 배포 후 사업이 끝나는 것이 아니라 배포 이후 운영 단계에서도 지속적인 기능 보완을 통해 성능을 발전시키는…  ||  p6: 한 로드맵에 따라 지속 업데이트하여 운영과 개발이 동시에 진행되어야 한다. 현행 법령에서 ‘획득절차’에 대해 적시한 조항은 존재하지 않고 획득절차와 관련한 각 조항에서의 예외 규정이라든지 획득절차를 위한 별도 규정이 있는 경우 별도의 절 차로 인식되는 것으로 판단된다. 따라서 위의 기본방향은 반영한 법령의 개정(안)을 제시하였다. 이때, 우리 획득체계의 기본인 소요기획과 사업추진기본전략은 거…",,,,(decided),매핑: 2023_남기헌_국방소프트웨어획득제도정비방안
gq-030,SR015,concept,국방 과학기술의 민간 이전은 어떻게 이루어지는가?,"기술 소유권 정립, 민간 이전 절차 간소화, 기술 사업화 지원 체계 구축",pub:kida:c3041ffbe334de2bf5d03a6db540e820,국방과학기술소유권의민간이전방안검토,78,"73,18,46",0.45,strong,"p73: V. 결 론 본 연구과제는 국방과학기술의 결과물에 대한 소유권을 민간으로 전환하는 것에 대한 필요성과 정책개선방안을 제시하였다. 오랜기간 동안 국방과학기술을 국가가 소유함에 따라 지적되어 온 기술응용의 확장 제한, 경제적 잠재가치의 손실, 방산업 체의 기업가치 축적 제약, 국가연구개발제도와의 형평성 등의 사항을 개선하기 위하 여 민간으로 소유권을 이전하는 방안에 대한 논의 필요성이 제기된다.…  ||  p18: 연도 연구자 연구기관/저널 제목 주요 연구내용 한승호 권태복 법학연구 국방 관련기술의 공동연구와 특허권 귀속 ·정부 및 산학연 간 공유특허권 보유의 필요성을 논의하고, 이 를 위한 법규 개정사항 도출 추완호 박수경 산업혁신연구 국방연구개발 결과물의 기술이전·사업화 성과의 영향요인에 관한 연구 ·국방연구개발 결과물의 기술이 전과 사업화 성과의 영향요인 을 로지스틱 회귀분석을 통해 계량적으로 식…  ||  p46: <그림 III-2> ETRI의 기술이전 및 사업화 온라인 서비스와 설명회 ETRI는 기술형태와 소유권 이전 여부 등에 따라 기술이전 유형을 다음과 같이 구 분하고 있다.41) 기술형태에 따라서는 산업재산권 이전, 노하우 이전, 산업재산권 및 노하우 이전으로 구분한다. 소유권 이전 여부에 따라서는 기술매각(또는 양도)과 기 술실시로 구분한다. 기술실시권 유형은 전용실시권과 통상실시권으로 구분할…",,,,(decided),매핑: 2023_양영철_국방과학기술소유권의민간이전방안검토
gq-039,MH009,multi_hop,중대재해처벌법이 군에 미치는 영향과 군의 특수성을 고려한 적용 방안은?,"군 작전/훈련 중 사고에 대한 법적 책임 문제. 군 특수성 반영한 예외 조항, 안전관리체계 강화, 지휘관 면책 범위 명확화 필요",pub:kida:10152162705b8b446f4c6f7d6a7b8360,중대재해처벌법과군특수성,11,"3,7,8",0.40,strong,"p3: KIDA D efense Issues & Analyses - 군 특수성 일반 산업현장과 군 조직에서 발생하는 재해 및 안전사고의 차이점을 업무 및 책임 범위, 교육 훈련, 시설 환경 측면으로 나누어 구분할 수 있다. 첫째, 군이 임무를 수행하는 현장은 범위가 넓고, 이동하는 특징을 가지며 이에 따른 책임 범위가 넓다. 산업현장에서는 사업장 내에서 발생 한 재해에 한정, 의무이행 여부를 근거로…  ||  p7: KIDA D efense Issues & Analyses - <표 2> 각국의 산업안전보건 관련 법령의 군 특수성 반영 조항 비교 미국의 경우, 대통령 행정명령 및 행정법규(시행령)를 통해 군사 고유의 장비와 시스템 등과 같은 군사시설과 작전 및 훈련 등 군사활동과 관련한 예외 조항 규정을 마련함으로써 군 특수성을 인정하고 있다. 특이한 점은, 군인을 법 적용 제외대상으로 명시하고 근로자로 …  ||  p8: KIDA Defense Issues & Analyses - Health)을 통해 적극적으로 구성원들의 안전을 확보하고 있다. 또한, 특수한 군사시설에 근무하는 군무원에 대해 「산업안전보건법」 적용 예외를 인정하고 있으며, 군에서 일하는 계약업체의 근로 자에 대한 안전보건 의무는 군이 아닌 소속업체가 부담한다는 점이 특징이다. 독일의 경우, 「산업안전보건법」에서 명시적으로 국방 분야 적용 제한…",,,,(decided),매핑: 2024_김미희_중대재해처벌법과군특수성
gq-087,KW042,exact_term,국군사이버사령부의 임무는?,"사이버사령부는 사이버 공격 대응, 방어체계 운용, 사이버전 수행 담당",pub:kida:cb834625898e6eafe83599beaaee859c,국방사이버전문인력의전문성판단개선방안,16,"11,8,2",0.50,strong,"p11: KIDA Defense Issues & Analyses - 역량지수 개선(안)의 주요 특징으로 1 사이버 기본소양 지표에서는 사이버 전문인력의 기본적 인 자격증 보유 여부를 판단한다. 공식적인 자격증은 이론적인 지식과 기술역량을 확인하며 기본 적인 사이버 소양이 있음을 확인하는 것이다. 2 사이버 정책/기술 특성지표에서는 사이버 전문인 력의 업무역량을 평가한다. 개인의 학력과 경력은 전반적인…  ||  p8: KIDA D efense Issues & Analyses - 사이버 전문인력 역량평가 방법 현 역량지수 수용 여부 비고 대분류 중분류 기술 지식 평가 이론 시험 성적 ○ 학력지수, 자격지수 자격증 보유 여부 ○ 자격지수 관련 분야의 학위 및 전공 ○ 학력지수 실전 경험 평가 시뮬레이션 및 실습 성적 (기술 문제 해결 및 사이버 공격/방어 대응 성공률) × n/a 실제 작전에서의 성과 및 참여…  ||  p2: KIDA D efense Issues & Analyses - 국방 안보를 위협하고 있는 국내・외적 사이버 공격은 지속해서 증가하고 있다. 사이버 전력은 사이버 작전을 수행하는 인력의 역량 또는 전문성에 의해 수준이 결정되며, 이에 미국 등 선진 군은 우수한 사이버 인력의 획득 및 양성에 많은 노력을 기울이고 있다. 우리 군 또한 전문성 있는 사이버 인력을 획득하기 위해 다양한 수단을 취하고 …",,,,(decided),매핑: 2024_김성태_국방사이버전문인력의전문성판단개선방안
gq-091,KW046,exact_term,ATACMS(육군전술미사일)의 사거리와 용도는?,ATACMS는 사거리 300km 지대지 미사일로 종심 타격 임무 수행,pub:kida:d97f67aac09c745bce808e48ca694533,신영역작전수행개념과연계한한반도미사일전략발전방향연구,179,"83,86,26",0.62,strong,"p83: 인프라 구축 완료시점에 대한 예측조차도 할 수 없다는 입장이다.145) 향후, 한국의 입장에서는 무조건 따라 하는 우를 범하여서는 안 될 것이다. 분명한 것은 연합작전체계를 유지하는 한국의 입장에서는 안보동맹의 핵심국가인 미국의 작 전개념과 지휘통제 인프라 변화는 주의 깊게 모니터하여야 할 필요성이 있다. 최근, 적아식별체계 교체만으로도 엄청난 비용이 지불되는 상황을 경험한 바 있고 한국형 …  ||  p86: 분은 미사일의 구성요소가 가지는 기능특성과 무기자체의 효과특성으로 구분하고 있 다. 미사일의 구성 기능특성은 유도 시스템, 비행 특성, 탄두 유형, 관련 생존성 등이 고, 효과특성은 무기 자체가 가지는 치명성, 정밀도, 면적효과 등이다. 운용에서의 고려요소로는 각 전역에서의 최적의 타격 포트폴리오 구성을 가능한 모든 유형의 목표를 가장 잘 포괄하여 공격할 수 있는 능력을 가질 것과, 주요 영…  ||  p26: 화성-8형, 신형 준중거리 탄도미사일과 같은 극초음속 활공체 개발에 매진하고 있 다.22) 또한, 미사일 기술이 우주선 발사의 플랫폼으로 발전되면서 미사일이 우주 공 간을 새로운 전장 공간으로 변화시키고 있다. 미사일은 우주선을 쏘아 올리는 역할뿐 만 아니라, 우주선을 파괴하는 킬러 위성이 되기도 한다. 우주 강국인 러시아, 중국은 물론이고 북한도 안보 영역을 우주로 확장하고자 한다. 향후 …",,,,(decided),매핑: 2023_김기원_신영역작전수행개념과연계한한반도미사일전략발전방향연구 | 질문에 답이 괄호로 노출된 정의형. 검색 과제로는 유효하나 난이도가 낮음
gq-097,SR017,concept,디지털 네이티브 세대의 군 적응을 위한 방안은?,"디지털 소통 환경 조성, 개인 맞춤형 교육, 병영 ICT 인프라 개선, 합리적 규율",pub:kida:04c54f24414c6959db7cf2cb298b5849,한국의사회문화적이슈가군에미친영향,164,"90,93,86",0.42,strong,"p90: 권고안 중 특히 민관군 병영문화혁신위원회에서는 병의 휴대폰 사용을, 또 위원회 와 국회 특위 모두에서는 장병 인권 보장을 위한 법률의 제정, 그리고 외부 감독관으 로서 군 옴부즈만 제도 도입 등을 권고안에 포함하였다. 국방부는 병영문화혁신위원회와 국회 특위의 이러한 권고안 및 정책개선 과제를 검토하였고, 최종적으로 5개 중점, 23개 대과제, 90개 소과제를 선정하였다. 또 이후 매년 ‘병영…  ||  p93: 중점 추진 과제 선진민주국가 위상에 걸맞은 인권이 보장되는 군대 ◦신속한 권리구제를 위한 군인권보호관 제도 도입 ◦장병 인권 존중 및 군생활 환경개선을 위한 거버넌스체계 구축 ◦원하는 시기에 진료가 보장되는 여건 구축 ◦일과 휴식, 가정이 병립할 수 있는 복무여건 구축 ◦격오지 부대 장병의 근무여건 개선 ◦군 복무 간 생애설계 및 군 복무 설계 시스템 구축 ◦군 사망자 및 유가족 예우를 위한…  ||  p86: 화장실 가혹행위 사건은 사회적으로 큰 충격을 안겨주었다. 육군은 감찰감을 위원장 으로 하는 육군 인권개선위원회를 설치하여 운용하였으나, 다시 같은 해 6월 육군 28 사단 GP 내무반 총기 난사라는 충격적인 사건을 맞이하게 되었다. 이를 계기로 대통령의 지시에 따라 2005년 7월 창군 이래 최초로 민관군 합동으로 병영문화 전반을 검토하는 병영문화개선 대책위원회가 발족하였다. 병영문화개선위 …",,,,(decided),매핑: 2023_독고순_한국의사회문화적이슈가군에미친영향
gq-144,MH029,multi_hop,AI 기반 북한 군사정세 분석과 기존 정보분석 방법의 상호보완 방안은?,"AI 대량 데이터 분석 + 전문가 맥락 판단, 크로스체크 체계, 신뢰도 검증 프로세스",pub:kida:0f8510f865a0e83e2a77167d0e94b546,인공지능기반북한군사정세분석시범연구,136,"11,43,78",0.42,strong,"p11: 그림목차 <그림 I-1> 북한군사정세분석 모형 개념·························································· 19 <그림 II-1> Char-RNN의 논리구조 예시························································ 22 <그림 II-2> 기업별 생성형 AI 서비스···················…  ||  p43: 다. 학습에 사용된 데이터 규모도 기존보다 4배 이상 증대시켜 성능 향상을 도 모했다고 설명했다. 또 초거래 AI의 유지에 상당한 비용이 발생하는 문제를 해 결하기 위하여 대규모 언어모델(LLM) 및 멀티모달 모델의 경량화, 최적화를 추구했다. LG의 AI 연구원은 엑사원의 대표적인 활용 사례로서, LG 전자가 도 입한 AICC(AI Contact, AI 컨택 센터)를 소개했다. AICC는 …  ||  p78: <그림 V-4> ChatGPT가 생성한 학습데이터의 인간 전문가 검증 결과 관련 예시 그다음, <그림 V-4>와 같이 ChatGPT를 통해 생성한 학습 데이터 세트를 인간 전문가 그룹이 별도로 확인하여, 질문에 대한 답변의 품질을 검증하고 필 요한 경우 수정한다. 인간 전문가 검증이 완료된 데이터는 OpenAI에서 제공하는 API를 활용하여 Davinci-003 모델 미세조정에 사용한다. 학…",,,,(decided),매핑: 2023_이중구_인공지능기반북한군사정세분석시범연구 | 다중 문서 근거 필요
gq-163,MH048,multi_hop,국방정책 AI 개념설계 연구 결과를 실제 정책 의사결정에 적용하는 방안은?,"정책 시뮬레이션, 데이터 기반 분석 지원, 전문가 의사결정 보조, 점진적 도입",pub:kida:65126140b8accf27c4602672371a65e3,국방정책AI개념설계연구,6,"4,5,3",0.36,strong,"p4: 발표한 행정명령(Executive Order 13960)에 따라 미 연방정부 기관들이 작성하고 있는 AI 현황(AI Inventory) 가시화 노력의 일부로 볼 수 있다. AI로 해결하고자 하 는 문제(AI Use Case)를 정의하고, 문제에 적용할 기술을 구체화하고, 소요기획, 연 구개발, 운영 등으로 AI가 적용된 체계(서비스)의 단계를 구분하여 관리하는 개념인 AI Inventory …  ||  p5: 델 검증, AI 모델 활용, AI 서비스 운영의 6단계로 구성되어 있으며, 본 연구에서 주 로 다루고 있는 단계는 AI 서비스 기획 단계에서 AI 모델 검증까지의 단계이다. 특 히, AI 서비스 기획은 앞서 언급한 AI Use Case를 정의하는 활동이며, 국방정책 분 야 의사결정 문제 중에서 AI 기술을 활용하여 접근하는 것이 타당한지 검토하는 것 이 핵심 과업이다. 해당 문제가 AI 기술…  ||  p3: 요 약 2016년 3월 인공지능 바둑 프로그램인 알파고(AlphaGo)와 바둑기사 이세돌 간 대결이 심층강화학습을 장착한 알파고의 4:1 승리로 끝났다. 전 세계적인 관심을 불 러일으킨 알파고 열풍은 국내외 공공부문이나 민간부문의 AI 투자가 증가하게 된 계 기가 되었으며, 2020년 8월에는 미 국방부 산하 연구기관인 DARPA(Defense Advanced Research Projects…",,,,(decided),매핑: 2023_심승배_국방정책AI개념설계연구 | 다중 문서 근거 필요
gq-164,MH049,multi_hop,신영역 작전 수행 개념 발전과 한반도 미사일 전략의 연계 방향은?,"우주/사이버/전자전 통합, 다영역 동시작전, 미사일 정밀타격-ISR 연계",pub:kida:d97f67aac09c745bce808e48ca694533,신영역작전수행개념과연계한한반도미사일전략발전방향연구,179,"15,130,140",0.40,strong,"p15: 응전략과 이의 현시를 통해 상대에게 인식시키는 것이 중요하다. 전쟁 억제를 위한 초격차 능력과 이를 수행하려는 의지와 작동을 담보해야 억제가 작동 가능할 것이다. 따라서, 본 연구는 상대가 국지 도발이든 전면전이든 적대적인 행위를 취할 때, 원하 는 효과를 얻지 못하도록 하는 수단이자 플랫폼으로서 미사일 전략 발전 방향을 고찰 하고자 한다. 한반도 미사일 전략의 지향점은 억제전략이 작동되도록…  ||  p130: 시된 추진중점의 첫 번째는 북핵미사일 대응 능력의 획기적 강화이다. 북한 핵·미사 일 위협에 대해서 ‘AI 기반의 첨단과학기술을 적용한 대응역량 확충을 최우선적으로 하겠다’는 구체적인 국방혁신 4.0의 지향방향을 제시하였다.226) <그림 IV-4> 국방혁신 4.0 추진중점 및 과제 * 출처: 국방혁신 4.0 추진 3차 세미나 발표내용에서 인용 선제타격 개념인 킬체인과 관련하여 유사시 군 지…  ||  p140: 은 지상, 해양, 공중뿐만 아니라 우주 공간과 사이버 및 전자기펄스, 정보, 인지 영역 을 포괄한 합동전영역작전(JADO) 영역으로 설정한다. 미사일 전략의 운용 개념은 미사일 전략을 구사하는 전체 안보 영역(all domain)에서의 상호운용성을 바탕으로 4D 작전개념에서의 탐지(detect), 교란(disrupt), 방어(defend), 파괴(distroy)를 수 행하는 의지와 능력, 운…",,,,(decided),매핑: 2023_김기원_신영역작전수행개념과연계한한반도미사일전략발전방향연구 | 다중 문서 근거 필요
gq-014,KW014,exact_term,인태지역 주요국 군사력과 전략동향은?,"인태지역에서 미중 경쟁 심화, 역내 국가들의 군비 증강 추세",pub:kida:d5ea895302069f644442cc44c0dd9eb5,인태지역주요군사력과전략동향,513,"15,39,370",0.11,weak,"p15: 공간 확대, 한국 기업 등 현지 진출요인 증가, 인도의 거버넌스/인프라 취약성과 강한 민족주의 추세가 있다. 대만은 대만해협의 군사적 폭발 가능성 대두, 대만 국제화 요구 강화 움직임, 미국 촉발 글로벌 공급망 재편 과정에서 '동병상련' 등 의 요인이 있다. 북한은 북미대화 난망/북러관계 진전, 북한 핵능력 고도화/전술 핵 위협, 한반도 안보 불안 조성, NATO와 한국 간 공통 이해관계 확…  ||  p39: □ 참고문헌 강병철. (2023. 10. 2.). “바이든 “우크라 예산 조속 처리해야”...하원의장 “美 국경이 우선.”” 『연합뉴스』. 강석율. (2022), “통합적 억제 개념과 미 바이든 행정부의 국방전략.” 『동북 아안보정세분석』. 한국국방연구원. 『국방일보』. (2023. 6. 23.). “정부재원 마련 먹구름... 신용위기, 경기 침체 우려.” 김재천. (2022) “바이든 행정…  ||  p370: 술 활용 미래전 능력 구비를 위해 노력하고 있다. 인도는 2047년 세계군사강국 실 현/첨단무기 국산화, 국경방어, 인도양/남아시아 주도권, 남/동중국해/서태평양 영 향력 확대, 전략군대화, 합동작전능력 제고, 해양/우주 공간의 적극 활용을 도모하 고 있다. 대만은 국가안보, 국방 전문성, 자주국방, 인민의 안녕, 전략적 협력 확대; ‘단호한 방어’, 합동작전능력 기반 다영역 억제력/ 비대칭…",,,,,매핑: 2023_이상국_인태지역주요군사력과전략동향
gq-018,SR003,concept,현대전에서 민간 기술의 군사적 활용 사례는?,"상용 드론의 정찰/공격 활용, AI/ML 기술의 표적 식별 적용 등 우크라이나 전쟁 사례",pub:kida:035182e3c76ed3b460b222be0dcc2673,2개의전쟁무엇을배울것인가,12,"9,6,4",0.29,weak,"p9: KIDA D efense Issues & Analyses - 대응 능력과 속도가 강화되면 반격시간의 단축으로 기습공격의 효과는 상당히 제한될 것이며, 이는 러시아 초기공세에서 우크라이나군의 키이우 방어작전에서 증명된 바 있다. 또한, 신속한 공세전환은 군사력 운용 수단의 정밀한 결합이 필수적이다. 방어에서 공격으로의 빠른 전환은 재래식 무기체계, 드론, 사이버/우주 능력들을 통합 활용하고 항…  ||  p6: KIDA Defense Issues & Analyses - 두 번째 교훈, 무인체계(드론) 전장 활용의 일반화 우크라이나와 이스라엘의 전장에서 무인 체계의 중요성이 급증하고 있다는 사실은 이미 잘 알 려져 있다. 특히 드론은 최근 전투에서 가장 효과적인 무기체계라는 점이 증명되었으며, 현대전의 작전 양상에 큰 영향을 주고 있다. 전투원들은 드론을 통해 실시간 상황인식과 표적을 정확하게 파괴할…  ||  p4: KIDA Defense Issues & Analyses - 에 따른 전장 변화에 대한 준비와 함께 전통적인 관점에서의 군사력 강화를 게을리해서는 안될 것이다. 첫 번째 교훈, 대규모 지상 전투의 중요성 현재와 미래 전장의 핵심은 공중과 우주가 될 것이라는 통념과는 달리 대규모 지상 전투의 중 요성은 과거의 유산이 아닌 현실로 다가왔다. 특히 대규모의 지상 전투가 현재와 미래 어느 곳에 서도 …",,,,,매핑: 2024_유기현_2개의전쟁무엇을배울것인가
gq-020,SR005,concept,기후변화가 군사 작전에 미치는 영향은?,"극한 기후로 인한 장비 운용 제한, 재해 대응 임무 증가, 에너지 효율성 요구",pub:kida:56645b2a20d711920e05b65748039d97,기후변화와전투준비태세-선진국의대응과시사점,14,"2,7,8",0.23,weak,"p2: KIDA Defense Issues & Analyses - 2024년 1월 세계 경제 포럼1)이 발간한 ‘글로벌 위험 보고서(Global Risks Report 2024)’에 따르 면 향후 10년간 우리 삶의 가장 큰 위험요소 중 상위 4개가 기후변화2)와 직접 연관되어 있다. 기후변화 시나리오에 따라 다소 차이가 있지만, 전문가들은 공통적으로 지구온난화로 인해 해수 면이 상승하게 되고 극한…  ||  p7: KIDA D efense Issues & Analyses - 평가할 수 있다. 취약성은 위험에 대한 전투준비태세의 민감도와 위험이 초래하는 결과를 완화할 수 있는 적응능력의 조합으로 표현된다.11) 민감도가 높다는 것은 위험에 대한 노출로 인해 심각 또는 광범위하거나 영구적인 손상을 입게 되는 경우를 말하며, 적응능력이 높다는 것은 위험으로 인한 중단이나 영향을 줄일 수 있는 저비용의 실현 …  ||  p8: KIDA Defense Issues & Analyses - 영국 국방부의 기후변화 대응12) 2019년 6월 영국 의회는 정부가 2050년까지 온실가스 배출량을 1990년 대비 100% 감축할 것 을 법제화하였다. 이는 영국 정부가 2050년까지 ‘넷 제로(net zero)’13)를 달성하기 위해 법적 구속 력이 있는 약속을 했다는 것을 의미한다. 또한, 영국 정부는 안보, 국방, 외교 분야…",,,,,매핑: 2024_이남석_기후변화와전투준비태세-선진국의대응과시사점
gq-021,SR006,concept,국방 분야에서 지속가능성이 왜 중요한가?,"에너지 효율성 향상, 친환경 무기체계 개발, 장기적 군사력 유지를 위해 필수",pub:kida:4d90e7b6566afd03b37ee24bb662cf25,국방부문의지속가능성(Sustainability)및에너지효율성향상정책검토,12,"3,8,12",0.30,weak,"p3: KIDA Defense Issues & Analyses - 그러나 이러한 현실이 국방 분야가 기후 변화와 환경문제에서 자유롭다는 점을 시사하는 것은 아니다. 미국 사례를 먼저 살펴보면, 미국 브라운대 왓슨연구소의 연구결과에 의하면 2017년까지 미 국방부가 국가 내 단일조직으로서는 최대의 온실가스 배출대상이었다. 미국방부가 소유한 군함, 군용기, 군용차량 등 군사장비, 군시설 등에서 심각한 …  ||  p8: KIDA Defense Issues & Analyses - 군사 활동과 전쟁이 환경에 미치는 영향을 연구하고 알리는 Concrete Impacts 글로벌 프로젝트22) 는 각국의 UNFCCC 국방 부문 온실가스 배출량 보고에 대해서 매해 평가하고 있다. 최근 평가 결과에 따르면 한국의 배출보고의 등급은 ‘축소 보고됨’으로, 데이터 접근성 점수는 ‘미흡’한 것으 로 나타났다. 2018년 기준 …  ||  p12: KIDA Defense Issues & Analyses 우선적으로 국방 분야 온실가스 배출 실태에 대해서 정확히 파악하고 관리하여야 한다. 나아가 장기간 지속가능성과 에너지 효율성 향상 정책을 세워온 미 국방부의 좋은 정책들을 적극적으로 검토하고, 한국 국방 분야로의 시사점을 점검해보는 노력이 필요하다. 현존하는 다양한 관련 정책들 에 대한 검토를 바탕으로 한국군에 맞는 환경 및 에너지 효율…",,,,,매핑: 2024_나상욱_국방부문의지속가능성(Sustainability)및에너지효율성향상정책검토
gq-022,SR007,concept,전시에 군수물자를 안정적으로 공급하는 방법은?,"성과기반 군수지원, 예측적 정비, 민간 물류 협력 등을 통한 지속지원성 확보",pub:kida:60b7c6f64ff31abb2907a468d3e4da00,전시우리군성과기반군수지원의지속지원성향상을위한발전,8,"2,8,3",0.22,weak,"p2: KIDA Defense Issues & Analyses - 현대전에서 민간기업의 지원 없이 전쟁을 수행하는 것은 불가능하다.1) 현대전의 양상을 적나라 하게 보여주는 우크라이나전은 과거 그 어느 전쟁보다 민간기업과의 협력이 전쟁의 중요 요소임을 인식시켜 주고 있다. 우크라이나는 미국기업 스페이스X의 인공위성 기반 통신서비스 스타링크를 통해 러시아의 공격으로 파괴된 자국 통신망을 대체하였고, …  ||  p8: KIDA Defense Issues & Analyses 전시 PBL 지속지원성 향상을 위한 발전방안 관련 주체 정부 군 업체 ∙ 중점관리대상업체에 대한 전・평시 지원제도 강화 ∙ 전시 PBL 업체 직원의 지위와 자격, 권한에 대한 기준 명확화 ∙ 전시 대비 연습에 PBL 업체 참여 의무화 ○ ○ ∙ 중점관리대상업체로 지정 및 PBL 계약에 따른 임무범위를 산업동원 임무고지에 반영 ∙ 국내 P…  ||  p3: KIDA Defense Issues & Analyses - 우리 군 PBL 사업의 실태와 특징 다음으로, 전시 지속지원성 향상의 관점에서 고려해야 할 우리 군 PBL 사업의 특징을 살펴본다. PBL 업체가 제공하는 군수지원요소는 크게 보급 혹은 정비로 구분되는데 그 외 사업별로 기술지원, 단종관리 등 세부적인 지원요소가 부가되기도 한다. 현재까지 우리 군과 PBL 계약을 체결한 업체는 국내외…",,,,,매핑: 2024_권남연_전시우리군성과기반군수지원의지속지원성향상을위한발전
gq-023,SR008,concept,사이버 보안 인력 양성의 어려움은?,"전문성 평가 기준 부재, 민간 대비 처우 열악, 빠른 기술 변화 대응 곤란",pub:kida:cb834625898e6eafe83599beaaee859c,국방사이버전문인력의전문성판단개선방안,16,"2,4,8",0.31,weak,"p2: KIDA D efense Issues & Analyses - 국방 안보를 위협하고 있는 국내・외적 사이버 공격은 지속해서 증가하고 있다. 사이버 전력은 사이버 작전을 수행하는 인력의 역량 또는 전문성에 의해 수준이 결정되며, 이에 미국 등 선진 군은 우수한 사이버 인력의 획득 및 양성에 많은 노력을 기울이고 있다. 우리 군 또한 전문성 있는 사이버 인력을 획득하기 위해 다양한 수단을 취하고 …  ||  p4: KIDA D efense Issues & Analyses - 개선에 관한 주요이슈는 다음과 같다. 첫째, 사이버 행정/기술의 개별적인 역량지수 개발 필요성 여부이다. 둘째, 역량지수를 구성하는 각 지수의 적정한 가중치 적용이다. 마지막으로, 역량판단 시점에서의 사이버 전문인력의 실질적인 현 기술역량평가 결과를 역량지수에 반영하는 것이다. <표 2> 현 역량지수에 대한 각 군별 주요 의견 구분…  ||  p8: KIDA D efense Issues & Analyses - 사이버 전문인력 역량평가 방법 현 역량지수 수용 여부 비고 대분류 중분류 기술 지식 평가 이론 시험 성적 ○ 학력지수, 자격지수 자격증 보유 여부 ○ 자격지수 관련 분야의 학위 및 전공 ○ 학력지수 실전 경험 평가 시뮬레이션 및 실습 성적 (기술 문제 해결 및 사이버 공격/방어 대응 성공률) × n/a 실제 작전에서의 성과 및 참여…",,,,,매핑: 2024_김성태_국방사이버전문인력의전문성판단개선방안
