case_id,question,query_slice,difficulty,relevant_publication_ids,document_title,prior_keywords,suggested_pages,matched_keywords,page_evidence,relevant_pages,relevance_grade,reviewed_by,adjudication_status,notes
gq-015,군사개혁 후 중국 인민해방군의 변화는?,exact_term,hard,pub:kida:3545eae573db173bfe188b69d8365208,군사개혁후의중국인민해방군연구,중국;인민해방군;군사개혁;전구,,,,,,,draft,매핑: 2019_이창형_군사개혁후의중국인민해방군연구
gq-016,인공지능이 군 인사 선발에 어떻게 활용될 수 있는가?,concept,medium,pub:kida:141e602a103e76d68efee4780087cc13,초급간부선발시AI면접의발전방향,AI;면접;선발;인사,"1,9,6,8","AI,면접,선발 | AI,면접,선발 | AI,면접,선발 | AI,면접,선발","p1: …호(24-10) 2024년 3월 15일 발행처 한국국방연구원 발행인 탁성한 편집인 이재욱 초급간부 선발 시, AI 면접의 발전방향 곽지희 한국국방연구원 국방인력연구센터 jiheekwak@kida.r…  ||  p9: …yses - 이해하기 쉽게 표현한 매뉴얼을 제공해야 한다. 장소 및 장비 마련이 어려운 인원은 대면면접일에 실시할 수 있도록 하는 등 시행환경을 갖추는 것이 어려운 인원에 대한 배려가 필요하다. 화…  ||  p6: …KIDA Defense Issues & Analyses - 것은 정확도가 높지 않다. AI 모델 학습과정에서 대면면접관이 점수를 레이블링(labeling)4)하기 때문에 대면면접관이 평가하기 어려운…  ||  p8: …nalyses - 비추천 결과와 생도 성취도는 유의하지 않은 것으로 나타났다. 연구결과에서 나타난 AI 면접의 타당성은 충분하지 못한 것으로 보인다. AI 면접을 실제 선발에 적용한 후, AI 면접…",,,,draft,매핑: 2024_곽지희_초급간부선발시AI면접의발전방향
gq-017,드론과 로봇이 미래 전장에서 어떤 역할을 할 것인가?,concept,medium,pub:kida:780ab1feb626e0554a8e217b5547378f,유무인복합체계(MUM-T)발전방향에대한소고,드론;무인기;로봇;미래전,"3,6,2,4","무인기,로봇 | 무인기,로봇 | 무인기,미래전 | 무인기,로봇","p3: … 적을 선제타격할 수 있다. 2001년 9.11 테러 발생 이후 시작된 미국-아프가니스탄 전쟁에서 무인기 MQ-1 Predator는 헬 파이어 미사일로 적을 공격하고 정찰용 무인기로서 영상을 전송하…  ||  p6: …고 정의하였다.14) 미국은 유・무인복합체계를 중요한 능력으로 여겨왔으며, 미국 육군에서 주도하여 무인기를 활 용한 MUM-T를 먼저 추진하였다. 미국의 가장 대표적인 유・무인복합체계(MUM-T)는…  ||  p2: …대신 수행할 수 있는 등 강력한 이점을 제공할 수 있다. 따라서 유・무인복합 체계는 급변하고 있는 미래전장 환경에서 필수적이라고 할 수 있고, 이를 위해 필요한 선도 기술 및 무기체계를 확보하기 위…  ||  p4: … 수준(LOI, Levels of Interoperability) 레벨 성능 LOI 1 유인기에서 무인기 관련 데이터/메타데이터의 간접적인 송・수신 LOI 2 유인기에서 무인기 관련 데이터/메타데이…",,,,draft,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고
gq-018,현대전에서 민간 기술의 군사적 활용 사례는?,concept,medium,pub:kida:035182e3c76ed3b460b222be0dcc2673,2개의전쟁무엇을배울것인가,민간기술;상용;드론;AI,"6,7,9,5","드론,AI | 드론,AI | 드론,AI | AI","p6: …KIDA Defense Issues & Analyses - 두 번째 교훈, 무인체계(드론) 전장 활용의 일반화 우크라이나와 이스라엘의 전장에서 무인 체계의 중요성이 급증하고 있다는 사실은 이미 잘 …  ||  p7: …KIDA D efense Issues & Analyses - 드론 공격 성공이 보여준 바와 같이 예측하기 어려운 드론의 사용과 고가의 무기체계를 보호하기 위한 대응 방식 등은 전장에서 반드시 필요한…  ||  p9: … 군사력 운용 수단의 정밀한 결합이 필수적이다. 방어에서 공격으로의 빠른 전환은 재래식 무기체계, 드론, 사이버/우주 능력들을 통합 활용하고 항공차단 등 합동작전 성공적으로 운용될 때 가능하다. 현…  ||  p5: …KIDA D efense Issues & Analyses - 매우 중요한 전략적 중심임은 말할 나위가 없을 것이다. 대규모 지상 전투의 중요성은 우리 군에게 다음과 같은 군사력 운용의 시사점을 제시…",,,,draft,매핑: 2024_유기현_2개의전쟁무엇을배울것인가
gq-021,국방 분야에서 지속가능성이 왜 중요한가?,concept,medium,pub:kida:4d90e7b6566afd03b37ee24bb662cf25,국방부문의지속가능성(Sustainability)및에너지효율성향상정책검토,지속가능성;에너지;친환경;효율성,"3,8,12,1","지속가능성,에너지,효율성 | 지속가능성,에너지,효율성 | 지속가능성,에너지,효율성 | 지속가능성,에너지,효율성","p3: … 있으며 기후 변화나 온실가스와 관련된 위기의식이 미흡하다. 이와 같은 배경 속에서, 국방 분야의 에너지 소비와 관련된 지속가능성 문제 는 더는 무시하거나 소홀히 여길 수 없는 주제로 부상하였다. …  ||  p8: …국방 분야의 온실가스 배출 관리를 위한 국제사회의 제도적 기틀은 아직 충분치 않다고 할 수 있다. 에너지 효율성 향상 정책 검토 미 국방부 지속가능성 계획(DoD Sustainability Plan…  ||  p12: …우선적으로 국방 분야 온실가스 배출 실태에 대해서 정확히 파악하고 관리하여야 한다. 나아가 장기간 지속가능성과 에너지 효율성 향상 정책을 세워온 미 국방부의 좋은 정책들을 적극적으로 검토하고, 한국…  ||  p1: …발행처 한국국방연구원 발행인 탁성한 편집인 박수현 국방 부문의 지속가능성(Sustainability) 및 에너지 효율성 향상 정책 검토 나상욱 한국국방연구원 전력투자분석센터 ryan@kida.re.…",,,,draft,매핑: 2024_나상욱_국방부문의지속가능성(Sustainability)및에너지효율성향상정책검토
gq-022,전시에 군수물자를 안정적으로 공급하는 방법은?,concept,medium,pub:kida:60b7c6f64ff31abb2907a468d3e4da00,전시우리군성과기반군수지원의지속지원성향상을위한발전,군수;물류;지원;전시,"3,6,2,4","군수,지원,전시 | 군수,지원,전시 | 군수,지원,전시 | 군수,지원,전시","p3: … Defense Issues & Analyses - 우리 군 PBL 사업의 실태와 특징 다음으로, 전시 지속지원성 향상의 관점에서 고려해야 할 우리 군 PBL 사업의 특징을 살펴본다. PBL 업체가…  ||  p6: …KIDA Defense Issues & Analyses - 해줄 것을 가정한 전시 계획을 수립하고 있다. 현재 국내 PBL 업체는 전시 동원대상인 중점관리대 상업체로 지정되어 있으나, 해당 업체에 …  ||  p2: …KIDA Defense Issues & Analyses - 현대전에서 민간기업의 지원 없이 전쟁을 수행하는 것은 불가능하다.1) 현대전의 양상을 적나라 하게 보여주는 우크라이나전은 과거 그 어느 전…  ||  p4: …ssues & Analyses - 마지막으로 본고에서 발전방안을 제시하고자 하는, PBL 사업들의 전시 지속지원 준비 사항을 살펴보면 다음과 같다. 현재 PBL 사업추진의 각 단계에서는 전시 군수지…",,,,draft,매핑: 2024_권남연_전시우리군성과기반군수지원의지속지원성향상을위한발전
gq-023,사이버 보안 인력 양성의 어려움은?,concept,medium,pub:kida:cb834625898e6eafe83599beaaee859c,국방사이버전문인력의전문성판단개선방안,사이버;인력;전문성;양성,"2,1,4,3","사이버,인력,전문성,양성 | 사이버,인력,전문성,양성 | 사이버,인력,전문성 | 사이버,인력,전문성","p2: …KIDA D efense Issues & Analyses - 국방 안보를 위협하고 있는 국내・외적 사이버 공격은 지속해서 증가하고 있다. 사이버 전력은 사이버 작전을 수행하는 인력의 역량 또는 전문…  ||  p1: …제2020호(24-47) 2024년 12월 9일 국방 사이버 전문인력의 전문성 판단 개선방안 김성태 한국국방연구원 군사발전연구센터 withtea@kida.re.kr 사이버 임무를 수행하는 인력의 역…  ||  p4: … D efense Issues & Analyses - 개선에 관한 주요이슈는 다음과 같다. 첫째, 사이버 행정/기술의 개별적인 역량지수 개발 필요성 여부이다. 둘째, 역량지수를 구성하는 각 지수의 …  ||  p3: …KIDA Defense Issues & Analyses - 사이버 전문인력 역량지수 현황 및 문제점 사이버 전문인력의 전문성은 역량지수로 판단하고 있다. 현재, 역량지수는 사이버 행정인력과 기술인력…",,,,draft,매핑: 2024_김성태_국방사이버전문인력의전문성판단개선방안
gq-025,젊은 세대의 군 기피 현상 해결 방안은?,concept,easy,pub:kida:e76f9384a52ef3808c8bd69909e01a52,군간부획득영향요인과정책효과에대한인식,군 기피;인력;처우;MZ세대,"1,5,7,2","인력,처우 | 인력,처우 | 처우 | 인력","p1: … 2024년 12월 16일 군 간부 획득 영향요인과 정책효과에 대한 인식 권현진 한국국방연구원 국방인력연구센터 kwon7717@kida.re.kr 병역자원이 급감하는 미래에는 평균 복무기간 연장 및…  ||  p5: … 규모 충족을 위해 필요한 평균 복무기간은 더욱 늘어난다. 2022년 수행한 연구들은 간부에 대한 처우 개선이 이루어지지 않은 가상적인 상황에서는 병사 보수를 정부계획에 의거하여 인상할 때 남자 간…  ||  p7: …러나 이들 집단은 의무복무기간이나 군 간부 복무에 대한 선호・인식 측 면보다는 간부에 대한 실질적 처우를 상대적으로 중요하게 생각하였다. 금전적 메리트 감소 다음 으로 (금전적 측면 외의) 복지혜택…  ||  p2: …로 한 평균 활용기간(복무기간) 연장 등을 이야기한다. 병력소요 감축 차원에서는 과학기술을 이용한 인력대체, 민간인력 활용 확대, 아웃소 싱 등이 공통적으로 언급된다. 이 외에도 양쪽에서 주장하는 …",,,,draft,매핑: 2024_권현진_군간부획득영향요인과정책효과에대한인식
gq-026,AI와 기계학습이 군사 분석에 어떻게 활용될 수 있는가?,concept,medium,pub:kida:9d0de61457f6d51dc6ab6e2c49390c3c,기계학습기반신속통합분석연구,기계학습;분석;AI;정보융합,"3,1","기계학습,분석 | 기계학습,분석","p3: … 중심으로 인공지능의 활용 폭이 확 대되는 추세이다. 또한, 미래 개념이나 전력에 대한 ‘신속한’ 분석평가요구가 증가하 고 있으며, 선택과 집중을 위한 포괄적인 검토의 필요성이 높아지고 있다. 본 …  ||  p1: …연구보고서 군사 기계학습 기반 신속통합분석 연구 김종회, 심광신, 박효린, 서민혁, 손병원 2023. 11.…",,,,draft,매핑: 2023_김종회_기계학습기반신속통합분석연구
gq-027,국방 소프트웨어 획득 제도의 문제점과 개선 방향은?,concept,medium,pub:kida:bc3a9c9a14c66016c41eb20e670ccd8a,국방소프트웨어획득제도정비방안,소프트웨어;획득;제도;애자일,"4,5,6,3","소프트웨어,획득,제도 | 소프트웨어,획득,제도 | 소프트웨어,획득,제도 | 소프트웨어,획득,제도","p4: …「방위사업법」에는 소프트웨어와 관련된 별도의 조항이 존재하지 않기 때문에 하드웨 어 획득에 특화된 기존의 절차를 준용해야 한다. 다만, 「방위사업관리규정」에서는 제 2장 제5절, 제3장 제4절을 통…  ||  p5: … 중점을 두었다면 2023년도부터는 사용자 평가 및 환류 시점, 주기 등에 관심을 가졌다. 셋째, 획득과 운영유지 단계를 분리하지 않고 지속적으로 성능을 개선할 수 있는 다양한 노력을 강 구하고 있…  ||  p6: …한 로드맵에 따라 지속 업데이트하여 운영과 개발이 동시에 진행되어야 한다. 현행 법령에서 ‘획득절차’에 대해 적시한 조항은 존재하지 않고 획득절차와 관련한 각 조항에서의 예외 규정이라든지 획득절차를…  ||  p3: …고 있고, 그 일환으 로 한국형 전력증강 프로세스 재정립 방안을 모색하고 있다. 이와 관련하여 국방획득 체계 측면에서 추진되고 있는 가장 큰 변화는 기존의 중장기 소요 획득과 긴급소요 획득 등 2개…",,,,draft,매핑: 2023_남기헌_국방소프트웨어획득제도정비방안
gq-028,한국 사회문화적 변화가 군에 미치는 영향은?,concept,easy,pub:kida:04c54f24414c6959db7cf2cb298b5849,한국의사회문화적이슈가군에미친영향,사회문화;MZ세대;가치관;복무문화,"143,10,146,151","MZ세대,가치관 | 사회문화 | 사회문화 | 사회문화","p143: …정보 접근과 의사 표현에 제한이 없어지면서 권 위주의를 거부하고 의사결정에 직접 참여를 희망한다. MZ세대의 새로운 생활방식과 가치관 등으로 군·사회 간 소통과 개방성은 필연적으로 더욱 요구될 것이…  ||  p10: …········································ 142 2. 가까운 미래 사회문화적 이슈와 국방······································ 144 …  ||  p146: …2. 가까운 미래 사회문화적 이슈와 국방 저출산 심화와 군 인력 획득192) 지난 국방개혁 2.0에서는 상비병력을 2022년까지 50만으로 감축하는 계획을 수립 하고, 산업기능 요원 감축, 군무원 …  ||  p151: …페미니즘은 그 안에서 분열과 갈등, 분화와 발전을 거듭하는 특성을 보인다. 젠더가 성별을 구별하는 사회문화적 체계로 인식되다가 트랜스페미니즘이 부상하면서 젠더 이분법의 교란과 해체를 통해 성평등 을…",,,,draft,매핑: 2023_독고순_한국의사회문화적이슈가군에미친영향
gq-029,효율적인 함정 정비를 위한 외주 활용 방안은?,concept,medium,pub:kida:262ac13c060c99da338a0c17d7f9fed1,효율적인함정외주정비추진방안,함정;정비;외주;효율,,,,,,,draft,매핑: 2019_이성윤_효율적인함정외주정비추진방안
gq-030,국방 과학기술의 민간 이전은 어떻게 이루어지는가?,concept,medium,pub:kida:c3041ffbe334de2bf5d03a6db540e820,국방과학기술소유권의민간이전방안검토,과학기술;민간이전;기술사업화;소유권,"75,49,18,11","과학기술,민간이전,기술사업화,소유권 | 과학기술,기술사업화,소유권 | 과학기술,민간이전,소유권 | 과학기술,민간이전,소유권","p75: …참고문헌 □ 단행본 및 보고서 김경민 등. (2006). 국방기술의 민간이전 효과의 체계적 분석 및 민간부문 활용제고 방안. 한양대학교 산학협력단. 과학기술정보통신부. (2021). 국가연구개…  ||  p49: …erospace Research Institute, KARI)은 항공우주기 술 연구개발을 수행하는 과학기술 분야 정부출연연구기관이다. KARI는 연구부서에 서 기술이전 대상기술 및 계획을 제출하고,…  ||  p18: …영향요인 을 로지스틱 회귀분석을 통해 계량적으로 식별 유형곤 등 안보경영연구원 (방사청 용역) 국방과학기술이전 시 발생되는 기술료 산정기준에 관한 연구 ·기술실시 유형별로 기술료 산 정기준 재정립 …  ||  p11: …요 약 과학기술 연구의 결과물을 누가 소유하게 하느냐에 대한 원칙을 정립하는 것은 과 학기술의 발전을 촉진하게 하는 중요한 정책적 수단이다. 민간부문의 경우 연구산물 의 연구자 소유원칙을 법률에 명…",,,,draft,매핑: 2023_양영철_국방과학기술소유권의민간이전방안검토
gq-031,"우크라이나 전쟁과 이스라엘-하마스 전쟁의 공통된 교훈은 무엇이며, 이를 한국군에 어떻게 적용해야 하는가?",multi_hop,hard,pub:kida:035182e3c76ed3b460b222be0dcc2673,2개의전쟁무엇을배울것인가,우크라이나;이스라엘;교훈;한국군,"6,8,4,1","우크라이나,이스라엘,교훈 | 우크라이나,이스라엘,교훈 | 우크라이나,이스라엘,교훈 | 우크라이나,이스라엘,교훈","p6: …KIDA Defense Issues & Analyses - 두 번째 교훈, 무인체계(드론) 전장 활용의 일반화 우크라이나와 이스라엘의 전장에서 무인 체계의 중요성이 급증하고 있다는 사실은 이미 잘 …  ||  p8: …KIDA Defense Issues & Analyses - 세 번째 교훈, 방어의 한계 그리고 공격의 중요성 2개의 전쟁에서 배워야 하는 마지막 교훈은 전쟁에서 공격작전의 중요성이다. 어찌 보면 매…  ||  p4: …장 변화에 대한 준비와 함께 전통적인 관점에서의 군사력 강화를 게을리해서는 안될 것이다. 첫 번째 교훈, 대규모 지상 전투의 중요성 현재와 미래 전장의 핵심은 공중과 우주가 될 것이라는 통념과는 달…  ||  p1: … 전쟁, 무엇을 배울 것인가?† 유기현 한국국방연구원 군사발전연구센터 aim7@kida.re.kr 우크라이나와 이스라엘에서 발생한 2개의 전쟁은 우리가 상상해 왔던 미래전과는 다소 다른 양상을 보이…",,,,draft,매핑: 2024_유기현_2개의전쟁무엇을배울것인가 | 다중 문서 근거 필요
